"account_id";"company_name";"program_id";"access";"incorporation_country";"sectors";"industries";"activities";"primary_sector";"primary_industry";"primary_activity";"Target reference number";"Scope";"% emissions in Scope";"Targeted % reduction from base year";"Base year";"Start year";"Base year emissions covered by target (metric tons CO2e)";"Target year";"Is this a science-based target?";"% of target achieved";"Target status";"Please explain";"Likely % achieved issue";"Likely invalid formulation";"Keyword matches";"duration";"time_complete";"% reduction (annual linear)";"Most recent accounting year";"Most recent accounting year end date";"Base year emissions (100% of scope)";"Base year emissions data source";"Base year emissions (100% of scope, excl. scope 3)";"Base year emissions data source (excl. scope 3)";"MRY emissions (100% of scope)";"MRY year emissions data source";"MRY emissions (100% of scope, excl. scope 3)";"MRY emissions data source (excl. scope 3)";"flag";"flag_notes";"T_ID";"target_type"
"11";169;"ACERINOX";"Investor";"public";"Spain";"Metal smelting, refining & forming";"Materials";"Iron & steel";"Metal smelting, refining & forming";"Materials";"Iron & steel";"Int 2";"Scope 1+2 (location-based)";100;1.5;2018;2019;3062279;2023;"No, but we anticipate setting one in the next 2 years";0;"New";"This target INT-2 is the first target Acerinox Group companies share.";NA;NA;NA;4;-0.25;0.3;2018;"2018-12-31";3062279;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;3062279;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;"-0cb-0hb-0da-0db";NA;"169-int-S12L-2018-2023-1";"intensity"
"12";173;"ADP (Aeroports de Paris)";"Investor";"public";"France";"Industrial support services, Other services";"Services";"Real estate services, Transportation support services";"Industrial support services";"Services";"Transportation support services";"Int 1";"Scope 1+2 (location-based)";100;65;2009;2009;177641;2020;"No, but we are reporting another target that is science-based";100;"Underway";"Our target is to reduce by 65% the CO2 emissions per passengers (scope 1+2) between 2009 and 2020.This target has been set in 2015 for the period 2016-2020.At the end of 2018, we already have achived 69.1% reduction of CO2 emissions per passengers (scope 1+2) between 2009 and 2018.This reduction is mainly due to : - deployement of renewable energy production systems on our platforms (Biomass, geothermal, solar pannels)- energy management system certified ISO 50001 in 2015This concerns our airports in France, as the scope of our Environmental and Energy Policy for 2016-2020 is France.Our next Environmental and Energy Policy will integrate our activities abroad.";NA;NA;"France (breakdown matches)";11;0.818181818181818;5.90909090909091;2018;"2018-12-31";177641;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;171075;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0ca-0e-0fa-7a-0za-7f-0zb-7f-0ta-0rab-0rbd-0rec-0rbd-0rce-0rea-0rec-0rcb-0rea";"Found keyword(s): France; Organizational changes: Acquisitions: 98.0% increased in 2018, Change in methodology: 9.2% decreased in 2017, Other: 3.7% decrease in 2016,  Change in methodology: 8.8% decrease in 2016,  Change in boundary: 1.9% increase in 2016, Other: 18.7% increase in 2015, Other: 1% decrease in 2014, Acquisitions: 2% increase in 2012,  Other: 11% increase in 2012";"173-int-S12L-2009-2020-1";"intensity"
"13";220;"Adecco Group AG";"Investor";"public";"Switzerland";"Commercial & consumer services";"Services";"Commercial services";"Commercial & consumer services";"Services";"Commercial services";"Int 1";"Scope 1 +2 (market-based)";100;12;2012;2012;0.000005061;2022;"No, but we anticipate setting one in the next 2 years";100;"Revised";"Intensity target 100% achieved. The 2018 values (4.015 tCO2e per million EUR) represent a reduction of 21% from base year 2012 (5.061 tCO2e per million EUR), meaning we have outperformed the target for 2022 of 4.45 tCO2e per million EUR. Please note however the given caveat pertaining to the uncertainty ranges as mentioned above. Please also note that there has been a change in methodology. Therefore scope 2 is now based on market-based emissions. We are in the process of evaluating potential new targets.";NA;NA;NA;10;0.6;1.2;2018;"2018-12-31";103934;"C5.1 2019 S1, C5.1 2019 S2M";NA;NA;95826.71;"C6 2019 S1, C6 2019 S2M";NA;NA;"-0ca-0fb-0fb-0rcd-0reb-0rec-0reb";"Organizational changes: Change in methodology: 3.19% increased in 2018, Other: 16% decrease in 2016, Other: 4.4% decrease in 2015, Other: 8% decrease in 2014";"220-int-S12M-2012-2022-2";"intensity"
"14";220;"Adecco Group AG";"Investor";"public";"Switzerland";"Commercial & consumer services";"Services";"Commercial services";"Commercial & consumer services";"Services";"Commercial services";"Int 2";"Scope 1 +2 (market-based)";100;12;2012;2012;3.1508518766;2022;"No, but we anticipate setting one in the next 2 years";100;"Revised";"Intensity target 100% achieved. The 2018 values (2.76 tCO2e per FTE) represent a reduction of 13% from base year 2012 (3.15 tCO2e per FTE), meaning we have slightly outperformed the target for 2022 of 2.77 tCO2e per FTE. Please note however the given caveat pertaining to the uncertainty ranges as mentioned above. We are in the process of evaluating potential new targets.";NA;NA;NA;10;0.6;1.2;2018;"2018-12-31";103934;"C5.1 2019 S1, C5.1 2019 S2M";NA;NA;95826.71;"C6 2019 S1, C6 2019 S2M";NA;NA;"-0ca-0fb-0e-0rcd-0reb-0rec-0reb";"Organizational changes: Change in methodology: 3.19% increased in 2018, Other: 16% decrease in 2016, Other: 4.4% decrease in 2015, Other: 8% decrease in 2014";"220-int-S12M-2012-2022-1";"intensity"
"15";220;"Adecco Group AG";"Investor";"public";"Switzerland";"Commercial & consumer services";"Services";"Commercial services";"Commercial & consumer services";"Services";"Commercial services";"Int 3";"Scope 1 +2 (market-based)";100;12;2012;2012;0.15;2022;"No, but we anticipate setting one in the next 2 years";NA;"Retired";"After careful evaluation, we determined this to no longer be a meaningful performance indicator and have thus revised our methodology. We are in the process of evaluating potential new targets.";NA;NA;NA;10;0.6;1.2;2018;"2018-12-31";103934;"C5.1 2019 S1, C5.1 2019 S2M";NA;NA;95826.71;"C6 2019 S1, C6 2019 S2M";NA;NA;"-6c-0rcd-0reb-0rec-0reb-6fn";"Missing info: % of target achieved; Organizational changes: Change in methodology: 3.19% increased in 2018, Other: 16% decrease in 2016, Other: 4.4% decrease in 2015, Other: 8% decrease in 2014";"220-int-S12M-2012-2022-3";"intensity"
"16";257;"Dentsu Aegis Network";"Investor";"public";"United Kingdom of Great Britain and Northern Ireland";"Web & marketing services";"Services";"Marketing";"Web & marketing services";"Services";"Marketing";"Int 1";"Scope 1+2 (market-based) + 3 (upstream and downstream)";100;40;2015;2016;2.65;2020;"No, but we anticipate setting one in the next 2 years";92;"Underway";"This shows progress against target \"Int 1\" submitted to CDP in 2017 (2016 reporting year). This target covers 100% of emissions throughout our business. The target is 2016 - 2020 inclusive and therefore covers 5 full years. Our emissions target is set against calendar years. The normalised base year value has been restated in 2018 following a change to our reporting boundaries.NB. This is an overarching target for the business and will be achieved by realising the targets laid out in Int 2, Int 3, Int 4, as well as procuring 100% renewable electricity by 2020.";NA;NA;NA;4;0.5;8;2018;"2018-12-31";29282;"C5.1 2019 S1, C5.1 2019 S2M";NA;NA;17172;"C6 2019 S1, C6 2019 S2M";NA;NA;"-0fb-0fb-0za-7ga-0zb-7f-0rcb-0rbd-0rec-0rca";"Organizational changes: Acquisitions: 4% increase in 2016,  Change in methodology: 8% decrease in 2016,  Other: 4% decrease in 2016,  Divestment: 0% decrease in 2016";"257-int-S12M3-2015-2020-1";"intensity"
"17";257;"Dentsu Aegis Network";"Investor";"public";"United Kingdom of Great Britain and Northern Ireland";"Web & marketing services";"Services";"Marketing";"Web & marketing services";"Services";"Marketing";"Int 4";"Scope 1+2 (location-based) + 3 (upstream and downstream)";100;10;2015;2016;1.05;2020;"No, but we anticipate setting one in the next 2 years";59;"Underway";"This shows progress against target \"Int 4\" submitted to CDP in 2017. This target covers 100% of emissions related to all consumption, other than that for business travel for flights and paper (which have their own targets - Int2 and Int3). The target is 2016 - 2020 inclusive and therefore covers 5 full years. This target refers to location-based rather than market-based as the impacts of energy efficiency measures can be identified more readily through an assessment of location-based emissions. Our emissions target is set against calendar year. The normalised base year value has been restated in 2018 following a change to our reporting boundaries.";NA;NA;NA;4;0.5;2;2018;"2018-12-31";27473;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;32881;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0fb-7a-7c-0zb-7f-0rcb-0rbd-0rec-0rca";"Organizational changes: Acquisitions: 4% increase in 2016,  Change in methodology: 8% decrease in 2016,  Other: 4% decrease in 2016,  Divestment: 0% decrease in 2016";"257-int-S12L3-2015-2020-1";"intensity"
"18";276;"A.P. Moller - Maersk";"Investor";"public";"Denmark";"Industrial support services, Intermodal transport & logistics, Marine transport, Oil & gas extraction & production, Transportation equipment";"Fossil Fuels, Manufacturing, Services, Transportation services";"Energy services & equipment, Logistics - 3rd party, Logistics - transport, Marine freight, Oil & gas extraction, Shipbuilding, Transportation support services";"Marine transport";"Transportation services";"Marine freight";"Int 1";"Scope 1";84;60;2007;2015;38553000;2020;"No, but we are reporting another target that is science-based";47;"Replaced";"In 2017, Maersk adopted Maersk Line's target of reducing emission by 60% per container moved by 2020 compared to 2007 baseline. In 2018, this target was replaced.A.P. Moller - Maersk has for ten years pursued ways to reduce our relative CO2 emissions, and had set a target of 60% relative reductions by 2020, using a 2007 baseline. By the end of 2018, our reductions had reached 47% since 2007. This is not enough to reach 60% in two years' time. We knew our 2020 target was a stretched target, and we are convinced that aiming high has pushed us to do more than we would have without setting the bar high. Our efficiency work to date has allowed us to decouple our emissions from trade growth. We are now changing our efficiency target to align both target year and baseline with the IMO strategy for greenhouse gas (GHG) reductions in shipping, aiming for a 60% reduction relative to cargo moved by 2030, compared to a 2008 baseline.";NA;NA;"Maersk Line (breakdown matches)";5;0.6;4.61538461538461;2018;"2018-12-31";NA;NA;NA;NA;38826000;"C6 2019 S1";NA;NA;"-0e-0e-0fa-0e-0e-7a-0zb-7f-0tb-0rab";"Found keyword(s): Maersk Line; Organizational changes: Acquisitions: 8.0% increased in 2018";"276-int-S1-2007-2020-1";"intensity"
"19";285;"3M Company";"Investor";"public";"United States of America";"Chemicals, Electrical & electronic equipment, Medical equipment & supplies, Metal products manufacturing, Paper products & packaging";"Biotech, health care & pharma, Manufacturing";"Electronic components, Fabricated metal components, Health care supplies, Paper products, Specialty chemicals";"Chemicals";"Manufacturing";"Specialty chemicals";"Int 1";"Scope 1+2 (location-based)";50;30;2015;2015;937;2025;"No, but we anticipate setting one in the next 2 years";9;"Underway";"Energy efficiency improvements help address rising energy use, costs and climate impacts. 3M reviews its Strategic Energy Management Plan annually to prioritize programs and meet global goals. The plan uses input from stakeholders, including manufacturing directors, plant managers, operations employees, and executive management. Goals of the plan include to continuously improve results, leverage engineering expertise and advances, drive facility-level efficiency improvements, maintain top management support and protect 3M's reputation.Energy management at 3M goes beyond energy- efficiency efforts in factories and buildings. It is a team effort guided by the global Corporate Energy Policy and coordinated by the Corporate Energy Management team, with oversight by 3M's Corporate Energy Manager and Engineering Vice President, and active support from the CEO. Team members come from Environmental Operations, Location Operations, Finance, Sourcing, Engineering, Energy Management, Corporate Marketing and Public Affairs. Each department provides cross-functional contributions, assuring that: Energy-efficient technologies are being used; Opportunities are being identified in the design process; Renewable energy opportunities are identified and financed; Data is tracked routinely and consistently by locations.We have achieved a 2.8% reduction in indexed energy use from 2015. 2.8%/30%=9% achieved.";NA;NA;"annual";10;0.3;3;2018;"2018-12-31";5630000;"DWH 2016 S1, DWH 2016 S2L";NA;NA;6650000;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0ma-0fa-0fa-0e-0fa-0za-7ga-0zb-7ga-0rec-0rcd-0rec-0rea";"Organizational changes: Other: 0.55% increased in 2018, Change in methodology: 0.24% increased in 2017,  Other: 2.0% increased in 2017, Other: 12% increase in 2016";"285-int-S12L-2015-2025-1";"intensity"
"20";304;"The AES Corporation";"Investor";"public";"United States of America";"Energy utility networks, Thermal power generation";"Infrastructure, Power generation";"CCGT generation, Coal generation, Electricity networks";"Thermal power generation";"Power generation";"Coal generation";"Int 1";"Scope 1";99.9;26.9;2018;2018;15865208;2023;"No, and we do not anticipate setting one in the next 2 years";0;"New";"The target refers to the CO2 equity adjusted emissions of AES Gener. Since the target was established in 2018 there is no achievement against target to report.";NA;NA;NA;5;0;5.38;2018;"2018-12-31";54153962;"C6 2019 S1";NA;NA;54153962;"C6 2019 S1";NA;NA;"-0cb-0da-0db-7a";NA;"304-int-S1-2018-2023-1";"intensity"
"21";313;"ACEA SpA";"Investor";"public";"Italy";"Energy utility networks, Non-energy utilities, Renewable power generation, Thermal power generation";"Infrastructure, Power generation";"Biomass generation, CCGT generation, Electricity networks, Water supply networks";"Thermal power generation";"Power generation";"CCGT generation";"Int 1";"Scope 1";7;32;2017;2018;0.83;2022;"No, and we do not anticipate setting one in the next 2 years";88;"Underway";"The intensity indicator refers to the plant of Tor di Valle (roughly 100% of total fossil fuel production), near to be renewed, will improve by about 32 % in 2022, approaching an intensity figure of about 0.569 t/MWh (starting from 0.832 t/MWh)";NA;NA;"renew";4;0;6.4;2018;"2018-12-31";380883;"C6 2018 S1";NA;NA;375458;"C6 2019 S1";NA;NA;"-0mc2-0fb-7a-0zb-7f-0rce-0rbd-0rec";"Organizational changes: Change in boundary: 0.2% increased in 2018,  Change in methodology: 8.2% decreased in 2018,  Other: 0.6% decreased in 2018";"313-int-S1-2017-2022-1";"intensity"
"22";333;"Adobe, Inc.";"Investor";"public";"United States of America";"IT & software development";"Services";"Software";"IT & software development";"Services";"Software";"Int 2";"Scope 3: Fuel and energy-related activities (not included in Scopes 1 or 2)";100;15;2015;2016;13000;2025;"Yes, this target has been approved as science-based by the Science Based Targets initiative";60;"Underway";"Int2 is our verified SBTi goal for reducing Scope 3 emissions from FERA sources. Adobe's science-based target to reduce greenhouse gas emissions includes a goal to reduce our Scope 3 Fuel and Energy-Related Emissions per square foot by 15% by 2025 from our 2015 baseline. During FY18, Adobe made significant progress against this goal as we have achieved 60% of our 15% targeted reduction. At the FY2018 end, Adobe is underway collecting a comprehensive Scope 3 inventory. We assess that the 14804.55 MTCO2e from FERA emissions is approximately less than 3% of our total Scope 3 emissions.";NA;NA;NA;9;0.222222222222222;1.5;2018;"2018-11-30";97171;"DWH 2016 S3.03";NA;NA;14804.55;"C6 2019 S3.03";NA;NA;"-0e-0fb-0e-0fa-7c-0za-7f-0zb-7f-0rcb-0rcb-0rad";"Organizational changes: Acquisitions: 0.49% increased in 2018, Acquisitions: 3.64% increased in 2017, Change in methodology: 28.5% increase in 2016";"333-int-S3-2015-2025-2";"intensity"
"23";350;"Agnico-Eagle Mines Limited";"Investor";"public";"Canada";"Metallic mineral mining";"Mineral extraction";"Other non-ferrous ore mining, Precious metals & minerals mining";"Metallic mineral mining";"Mineral extraction";"Precious metals & minerals mining";"Int 1";"Scope 1+2 (location-based)";100;0;2016;2009;0.019;2018;"No, but we anticipate setting one in the next 2 years";NA;"New";"We obtain our targets by averaging the best two of the last three years' performance. The target intensity for 2018 was 0.0192. We obtained a GHG intensity of 0.205 (above our 2018 target intensity). This information is in regards to operations fully owned by Agnico Eagle.";NA;NA;NA;9;1;0;2018;"2018-12-31";558969;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;411346;"C6 2019 S1, C6 2019 S2L";NA;NA;"-6c-0ce-6fn";"Missing info: % of target achieved, % change anticipated in absolute Scope 1+2 emissions";"350-int-S12L-2016-2018-1";"intensity"
"24";351;"AGL Energy";"Investor";"public";"Australia";"Oil & gas extraction & production, Renewable power generation, Thermal power generation";"Fossil Fuels, Power generation";"CCGT generation, Coal generation, Hydro generation, Oil & gas extraction";"Thermal power generation";"Power generation";"Coal generation";"Int 1";"Scope 1+2 (location-based)";99;5;2016;2016;0.98;2024;"No, and we do not anticipate setting one in the next 2 years";0;"Revised";"Based on AGL's commitments of closure in the AGL Greenhouse Gas Policy, the emissions intensity of AGL's operated generation will reduce by 5% by FY24 from a baseline year of FY16. AGL aims to meet this target through the expansion of AGL's renewable generation fleet as well as the staged closure of its coal fired generation.Note that base, start and target year represent the end of the corresponding financial year statement.Note the target has been restated from 2018 to include separate facility level targets and to ensure compliance with CDP guidance.";NA;NA;NA;8;0.125;0.625;2018;"2018-06-30";43776410;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;43566555;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0cb-0e";NA;"351-int-S12L-2016-2024-1";"intensity"
