"";"account_id";"company_name";"program_id";"access";"incorporation_country";"sectors";"industries";"activities";"primary_sector";"primary_industry";"primary_activity";"Target reference number";"Scope";"% emissions in Scope";"Targeted % reduction from base year";"Base year";"Start year";"Base year emissions covered by target (metric tons CO2e)";"Target year";"Is this a science-based target?";"% of target achieved";"Target status";"Please explain";"Likely % achieved issue";"Likely invalid formulation";"Keyword matches";"duration";"time_complete";"% reduction (annual linear)";"Most recent accounting year";"Most recent accounting year end date";"Base year emissions (100% of scope)";"Base year emissions data source";"Base year emissions (100% of scope, excl. scope 3)";"Base year emissions data source (excl. scope 3)";"MRY emissions (100% of scope)";"MRY year emissions data source";"MRY emissions (100% of scope, excl. scope 3)";"MRY emissions data source (excl. scope 3)";"flag";"flag_notes";"T_ID";"target_type";"fin_sector"
"11";458;"Aktia Bank Plc";"Investor";"public";"EU";"Financial services";"Services";"Banks";"Financial services";"Services";"Banks";"Abs 1";"Scope 2 (location-based)";58,7;10;2018;2018;560,74;2023;"No, and we do not anticipate setting one in the next 2 years";0;"New";"The target covers all operations in Finland based of their total electricity consumption's carbon emissions. The target is based on average year 01/01 to 12/31. We have not reported against the same target before nor change the target's format.";NA;NA;"Finland (breakdown matches)";5;0;2;2018;"2018-12-31";955,06;"C5.1 2019 S2L";NA;NA;955,06;"C5.1 2019 S2L";NA;NA;"-0cb-0vk-0vm-0ta-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2019 | TOTAL 560.62022). -0vm: stated base year emissions are 100% of calculated base year emissions (C6 2019 | TOTAL 560.62022).; Found keyword(s): Finland";"458-abs-S2L-2018-2023-1";"absolute";"fin"
"12";573;"Alpha Bank";"Investor";"public";"EU";"Financial services";"Services";"Asset managers, Banks";"Financial services";"Services";"Banks";"Abs 1";"Scope 1+2 (location-based)";100;10;2017;2017;44910;2018;"No, and we do not anticipate setting one in the next 2 years";100;"Achieved";"In 2018 the Bank reduced its GHG Emissions by 20.7%. The scope of the target includes only emissions from Energy.";NA;NA;NA;1;1;10;2018;"2018-12-31";48931;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;39607;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0ab-0aa-0ca-0fa-0vk-0vm-0vn-0rcc-5aa";"Base year emissions check: -0vk: stated base year emissions are 109% of calculated base year emissions (C5.1 2019 | TOTAL 48931). -0vm: stated base year emissions are 109% of calculated base year emissions (C6 2018 | TOTAL 48930.65). -0vn: stated base year emissions are 109% of calculated base year emissions (CCDS 2018 | TOTAL 48930.65).; Organizational changes: Mergers: 3.2% decreased in 2018";"573-abs-S12L-2017-2018-1";"absolute";"fin"
"13";582;"Allstate Insurance Company";"Investor";"public";"USA";"Financial services";"Services";"Insurance";"Financial services";"Services";"Insurance";"Abs 1";"Scope 1+2 (location-based)";66;20;2007;2010;188715;2020;"No, but we anticipate setting one in the next 2 years";100;"Achieved";"Reduce energy use at owned facilities 20% by 2020. Percentages are calculated based on changes in energy consumption (btu) over time and therefore differ from changes in emissions over time. Note, base year emissions have been adjusted to reflect structural changes.This target was achieved in 2014 and is maintained each year.";NA;NA;NA;10;0,8;1,53846153846154;2018;"2018-12-31";236706;"C5.1 2019 S1, C5.1 2019 S2L";NA;NA;128853;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0ca-0e-0za-7f-0zb-7f-0wakq-0rbd-0rec-0rec-0rca-0rca-0rcb-0rbd-2ak-2fakq-5ab";"Base year emissions check: -0wakq: stated base year emissions are 21% higher than calculated base year emissions (C5.1 2019 | TOTAL 156225.96).; Organizational changes: Change in methodology: 5.74% decreased in 2018, Other: 0% decrease in 2016, Other: 0.45% decrease in 2015, Divestment: 1.4% decrease in 2014, Divestment: 0% decrease in 2013,  Acquisitions: 0% decrease in 2013, Change in methodology: 18% decrease in 2012";"582-abs-S12L-2007-2020-1";"absolute";"fin"
"14";600;"AIB Group Plc";"Investor";"public";"EU";"Financial services";"Services";"Banks";"Financial services";"Services";"Banks";"Abs 1";"Scope 1+2 (location-based)";94,16;56;2011;2017;27172,7;2025;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";55,62;"Underway";"We have used the SDA Tool V8 available on Science Targets website to develop our medium term (ABS1) and long term (ABS2) SBT. The lack of methodology for setting Scope 3 targets for financial institutions has prevented us from publishing these targets. We have been in contact with the SBT organisation to keep up to date with the latest developments regarding a methodology for financial institutions. It is our understanding that this is at an advanced stage and we will continue to participate with this process with the ultimate goal of publishing our targets.Note 1: Data from all our locations in ROI (AIB and EBS), UK (FTB and AIB GB), as well as our US have been considered.Note 2: Excluded from Scope 1 total, emissions of refrigerants and vehicle fleet.Note 3: After completion of a rebaseline emissions exercise in 2018, we re-ran the model (SDA Tool V8). This resulted in a slight variation of our original % SBT. The new calculated % emissions target was used when reporting ABS1 information.Note 4: This target meets the required 2.1% year-on-year emissions reductions between base year and target year.Note 5: Year on year, AIB achieved a 3.77% reduction and is on is target to achieve a 56% reduction by 2025. (In 2017, AIB reduced the emissions within the Scope of this target by 27.37% and in 2018 added a further reduction of 3.77%. Achieving, in 2018, a total reduction of 31.15%).";"Possible % achieved issue";NA;"EBS (breakdown matches)";8;0,125;4;2018;"2018-12-31";28856;"C6 2018 S1, C6 2018 S2L";NA;NA;19528;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0hb-0fa-0fb-0e-0fa-0fb-0fa-0za-7ga-0zb-7f-0vm-0vo-0tb-0rce-0rab-0rae-0rce-0rcb-0rba-0rce-0rcd-0rcc-0rec-2ea-5aa";"Base year emissions check: -0vm: stated base year emissions are 100% of calculated base year emissions (C6 2018 | TOTAL 27170.8096). -0vo: stated base year emissions are 95% of calculated base year emissions (DWH 2012 | TOTAL 25733.928).; Found keyword(s): EBS; Organizational changes: Change in boundary: 0.5% increase in 2016, Acquisitions: 9.3% increase in 2014,  Change in boundary: 15.32% increase in 2014, Change in boundary: 3.4% decrease in 2013, Acquisitions: 0% increase in 2012,  Divestment: 12% decrease in 2012,  Change in boundary: 0% increase in 2012,  Change in methodology: 0% increase in 2012,  Mergers: 0% increase in 2012,  Other: 0% increase in 2012";"600-abs-S12L-2011-2025-1";"absolute";"fin"
"15";600;"AIB Group Plc";"Investor";"public";"EU";"Financial services";"Services";"Banks";"Financial services";"Services";"Banks";"Abs 2";"Scope 1+2 (location-based)";94,16;78;2011;2017;27172,7;2036;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";39,93;"Underway";"We have used the SDA Tool V8 available on Science Targets website to develop our medium term (ABS1) and long term (ABS2) SBT. The lack of methodology for setting Scope 3 targets for financial institutions has prevented us from publishing these targets. We have been in contact with the SBT organisation to keep up to date with the latest developments regarding a methodology for financial institutions. It is our understanding that this is at an advanced stage and we will continue to participate with this process with the ultimate goal of publishing our targets.Note 1: Data from all our locations in ROI (AIB and EBS), UK (FTB and AIB GB), as well as our US have been consideredNote 2: Excluded from Scope 1 total, emissions of refrigerants and vehicle fleet.Note 3: After completion of a rebaseline emissions exercise in 2018, we re-ran the model (SDA Tool V8). This resulted in a slight variation of our original % SBT. The new calculated % emissions target was used when reporting ABS2 information.Note 4: This target meets the required 2.1% year-on-year emissions reductions between base year and target year.Note 5: Year on year, AIB achieved a 3.77% reduction and is on is target to achieve a 78% reduction by 2036. (In 2017, AIB reduced the emissions within the Scope of this target by 27.37% and in 2018 added a further reduction of 3.77%. Achieving, in 2018, a total reduction of 31.15%).";NA;NA;"EBS (breakdown matches)";19;0,0526315789473684;3,12;2018;"2018-12-31";28856;"C6 2018 S1, C6 2018 S2L";NA;NA;19528;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0fa-0e-0e-0fa-0e-0fa-0za-7ga-0zb-7f-0vm-0vo-0tb-0rce-0rab-0rae-0rce-0rcb-0rba-0rce-0rcd-0rcc-0rec-5aa";"Base year emissions check: -0vm: stated base year emissions are 100% of calculated base year emissions (C6 2018 | TOTAL 27170.8096). -0vo: stated base year emissions are 95% of calculated base year emissions (DWH 2012 | TOTAL 25733.928).; Found keyword(s): EBS; Organizational changes: Change in boundary: 0.5% increase in 2016, Acquisitions: 9.3% increase in 2014,  Change in boundary: 15.32% increase in 2014, Change in boundary: 3.4% decrease in 2013, Acquisitions: 0% increase in 2012,  Divestment: 12% decrease in 2012,  Change in boundary: 0% increase in 2012,  Change in methodology: 0% increase in 2012,  Mergers: 0% increase in 2012,  Other: 0% increase in 2012";"600-abs-S12L-2011-2036-1";"absolute";"fin"
"16";625;"alstria office REIT-AG";"Investor";"public";"EU";"Financial services";"Services";"REIT";"Financial services";"Services";"REIT";"Abs 1";"Scope 2 (market-based)";98;95;2013;2015;2347;2020;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";100;"Achieved";"Our target remained the same as last year and covers 98% of Scope 2 emissions. It includes powering the common areas of our portfolio and the total area of our corporate offices with renewable energy until 2020. The target meets at least a 2.1% year-on-year emissions reduction between the base year and target year. A minimum reduction for a period of 7 years (2013-2020) would be (1-(1-0,021) ^7) *100%=14.7%. To achieve our target, we started in 2013 to procure fossil-free energy for areas of our portfolio. In 2016, we centralized the energy procurement across our portfolio by implementing a framework contract for the period 2016-2020. This covers 100 % electricity from renewables and 100% climate-neutral natural gas for all landlord-shared services and our corporate offices.In 2018, the share of renewable energy has increased by 1.9% compared to last year and we were able to achieve our target before the self-imposed deadline of 2020. In detail, we procured electricity from renewable sources for 94% of the floor area of our landlord obtained areas (67 of 71 multi-tenant buildings) and the total area of our corporate offices. We have renewed our renewable contract until 2021 and plan in the mid-term to power with renewable energy all our new acquisitions.Regarding the validation of this target to be a science-based one, we consulted CDP on that matter and unfortunately, we were not able to take some action since the real estate sector was excluded from this agreement. However, we are staying in contact with and following the development of this agreement in the future.";NA;NA;"renew";5;0,6;13,5714285714286;2018;"2018-12-31";2347;"C5.1 2019 S2M";NA;NA;19;"C6 2019 S2M";NA;NA;"-0ca-0mc2-0e-0fa-0e-0fa-0e-0fa-0e-0za-7ga-0zb-7f-0vk-5aa";"Base year emissions check: -0vk: stated base year emissions are 98% of calculated base year emissions (C5.1 2019 | TOTAL 2300.06).";"625-abs-S2M-2013-2020-1";"absolute";"fin"
"17";625;"alstria office REIT-AG";"Investor";"public";"EU";"Financial services";"Services";"REIT";"Financial services";"Services";"REIT";"Abs 2";"Scope 3: Downstream leased assets";98;50;2013;2014;49696;2040;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";82;"Underway";"The target covers 98% of scope 3 emissions and includes the carbon emissions produced from the electricity and heating consumption of our tenants. In 2018, we have achieved a reduction of 20,260 tCO2e compared to the base year. From a total of 35,708 tCO2e produced in 2018, we managed to avoid 6,273 tCO2 through the procurement of renewable electricity and carbon-neutral natural gas (via offsetting). In 2013, the emissions in our portfolio were significantly higher than today as we were using heating options (fuel-based and district heating) that produced more emissions than natural gas.As a landlord in Germany, we are not allowed to directly purchase energy for our tenants. However, we can consult them upon using renewable energy or at least carbon compensated gas. In the last year, we started to offer a tenant electricity contract for the procurement of renewable electricity. In 2018, 3.3% of the electricity consumed by our tenants was renewable. With this, we saved 634 tCO2e emissions.";NA;"Likely inclusion of RECs, ETS, or offsets";NA;26;0,153846153846154;1,85185185185185;2018;"2018-12-31";51737,27;"DWH 2014 S3.13";NA;NA;29741;"C6 2019 S3.13";NA;NA;"-9cb-0fb-0fa-0za-7gb-0zb-7f-0vo-5aa";"Base year emissions check: -0vo: stated base year emissions are 102% of calculated base year emissions (DWH 2014 | TOTAL 50702.5246).";"625-abs-S3-2013-2040-1";"absolute";"fin"
"18";692;"American Express";"Investor";"public";"USA";"Financial services";"Services";"Banks";"Financial services";"Services";"Banks";"Abs 1";"Other, please specify: Scope 1+2 (market-based)+Scope 3 (business travel)";100;100;2018;2018;188349;2025;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";61;"New";"We are committing to achieve carbon neutrality for our global operations Scope 1 and 2 (market-based) and 3 (business travel) emissions by 2025 . To help us achieve this GHG goal, we also have an operational goal to reduce energy use per square foot by 35% across our global managed portfolio from 2011 to 2025.";NA;NA;NA;7;0;14,2857142857143;2018;"2018-12-31";NA;NA;NA;NA;NA;NA;NA;NA;"-0fa-0cd-5ad";NA;"692-abs-S12M3-2018-2025-1";"absolute";"fin"
"19";692;"American Express";"Investor";"public";"USA";"Financial services";"Services";"Banks";"Financial services";"Services";"Banks";"Abs 2";"Other, please specify: Scope 1+2 (market-based)+Scope 3 (business travel)";100;100;2018;2018;188349;2040;"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";61;"New";"We are committing to maintain carbon neutrality for our global operations Scope 1 and 2 (market-based) and 3 (business travel) emissions through at least 2040. To help us achieve this GHG goal, we also have an operational goal to reduce energy use per square foot by 35% across our global managed portfolio from 2011 to 2025.";NA;NA;NA;22;0;4,54545454545455;2018;"2018-12-31";NA;NA;NA;NA;NA;NA;NA;NA;"-0fa-0cd-5ad";NA;"692-abs-S12M3-2018-2040-1";"absolute";"fin"
"20";699;"American International Group, Inc. (AIG)";"Investor";"public";"USA";"Financial services";"Services";"Insurance";"Financial services";"Services";"Insurance";"Abs 1";"Scope 1+2 (location-based)";23;20;2010;2010;5190;2020;"No, but we anticipate setting one in the next 2 years";100;"Achieved";"AIG is a supporter of the UK Carbon Reduction Commitment in the UK, and has committed to reducing the Carbon emissions associated with its UK business operations by 20% by the year 2020. As of December 31, 2018, AIG's UK operations have exceeded the target commitment, reducing overall Scope 1 and Scope 2 emissions by 40 percent, 200 percent of the original target.";NA;NA;NA;10;0,8;2;2018;"2018-12-31";NA;NA;NA;NA;9122;"C6 2019 S1, C6 2019 S2L";NA;NA;"-0ca-0e-0za-7f-0zb-7f-0rba-5ad";"Organizational changes: Divestment: 8% decrease in 2015";"699-abs-S12L-2010-2020-1";"absolute";"fin"
