"account_id";"company_name";"program_id";"access";"incorporation_country";"sectors";"industries";"activities";"primary_sector";"primary_industry";"primary_activity";"project_year";"Target reference number";"Year target was set";"Target coverage";"Scope(s) (or Scope 3 category)";"Base year";"Covered emissions in base year (metric tons CO2e)";"Covered emissions in base year as % of total base year emissions in selected Scope(s) (or Scope 3 category)";"Target year";"Targeted reduction from base year (%)";"Covered emissions in target year (metric tons CO2e) [auto-calculated]";"Covered emissions in reporting year (metric tons CO2e)";"% of target achieved [auto-calculated]";"Target status in reporting year";"Is this a science-based target?";"Target boundary accuracy";"Possible invalid formulation";"Keyword matches";"duration";"time_complete";"% reduction (annual linear)";"Most recent accounting year";"Most recent accounting year end date";"Base year emissions (100% of scope)";"Base year emissions data source";"access_BYE";"Base year emissions (100% of scope, excl. scope 3)";"Base year emissions data source (excl. scope 3)";"access_Base_excl_scope3";"MRY emissions (100% of scope)";"MRY year emissions data source";"access_MRY_specific";"MRY emissions (100% of scope, excl. scope 3)";"MRY emissions data source (excl. scope 3)";"Anticipated reduction in target year (tCO2e)";"Anticipated reduction in target year, excl. scope 3 (tCO2e)";"flag";"flag_notes";"T_ID";"priority_score";"priority_order";"Global S1";"Global S2M";"Global S2L";"Country/Region";"Country S1";"Country S2L";"Country S2M";"percent_alloc";"Country impact (excl. scope 3)";"Scope_short";"Scope_short_tmp";"percent_alloc_tmp"
16119;"Safran";"Investor";"public";"France";"Electrical & electronic equipment, Powered machinery";"Manufacturing";"Electrical equipment, Engines & motors, Other vehicle equipment & systems";"Powered machinery";"Manufacturing";"Engines & motors";2020;"Abs 3";2019;"Company-wide";"Scope 2 (market-based)";2018;374691;100;2025;18;307246.62;387336;-18.7487823299732;"New";"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";"no assessment";NA;NA;6;0;2.57142857142857;2019;"2019-12-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;67444.38;NA;"-0cb-0fb-0e-0e-0zd-7f-5ad";NA;"16119-abs-S2M-2018-2025-1";2.16780487804878;2;219934;NA;387336;"Global";219934;387336;NA;1;NA;"S2M";"S2M";1
16137;"Salmar ASA";"Investor";"public";"Norway";"Fish & animal farming";"Food, beverage & agriculture";"Aquaculture";"Fish & animal farming";"Food, beverage & agriculture";"Aquaculture";2020;"Abs 1";2013;"Company-wide";"Scope 2 (location-based)";2013;4537;100;2020;50;2268.5;2522;88.8252148997135;"Underway";"No, but we anticipate setting one in the next 2 years";"excellent";NA;NA;7;0.857142857142857;7.14285714285714;2019;"2019-12-31";4537;"C5.1 2020 S2L";"public";NA;NA;NA;2522.4;"C6 2020 S2L";"public";NA;NA;2268.5;NA;"-0fb-0za-7f-0zb-7f-0zc-7f-0zd-7f-0vk-0rcd-0rab-0rcd-0rec-0rcd-0rcd-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2020 | TOTAL 4537).; Organizational changes: Change in methodology: 2.0% decreased in 2019,  Acquisitions: 15.0% increased in 2019, Change in methodology: 2.0% decreased in 2018, Other: 1.4% increased in 2017,  Change in methodology: 1.0% decreased in 2017, Change in methodology: 2% decrease in 2016";"16137-abs-S2L-2013-2020-1";2.48536585365854;1;15100.4;1153;2522.4;"Global";15100.4;2522.4;1153;1;NA;"S2L";"S2L";1
16137;"Salmar ASA";"Investor";"public";"Norway";"Fish & animal farming";"Food, beverage & agriculture";"Aquaculture";"Fish & animal farming";"Food, beverage & agriculture";"Aquaculture";2020;"Abs 3";2014;"Company-wide";"Scope 1";2014;980;9;2020;100;0;0;100;"Achieved";"No, but we anticipate setting one in the next 2 years";"no assessment";NA;NA;6;0.833333333333333;16.6666666666667;2019;"2019-12-31";NA;NA;NA;NA;NA;NA;15100.4;"C6 2020 S1";"public";NA;NA;980;NA;"-0ca-0ha-0cd-0za-7f-0zb-7f-0zc-7f-0zd-7f-0rcd-0rab-0rcd-0rec-0rcd-0rcd-5ad";"Organizational changes: Change in methodology: 2.0% decreased in 2019,  Acquisitions: 15.0% increased in 2019, Change in methodology: 2.0% decreased in 2018, Other: 1.4% increased in 2017,  Change in methodology: 1.0% decreased in 2017, Change in methodology: 2% decrease in 2016";"16137-abs-S1-2014-2020-1";2.40536585365854;2;15100.4;1153;2522.4;"Global";15100.4;2522.4;1153;1;NA;"S1";"S1";1
16151;"Saint-Gobain";"Investor";"public";"France";"Other materials";"Materials";"Glass products, Other non-wood building materials";"Other materials";"Materials";"Glass products";2020;"Abs 1";2018;"Company-wide";"Scope 1+2 (location-based)";2017;12954951;100;2025;10;11659455.9;10758875;169.516349386424;"Underway";"Yes, this target has been approved as science-based by the Science-Based Targets initiative";"excellent";NA;NA;7;0.142857142857143;1.25;2019;"2019-12-31";12954951;"C6 2018 S1, C6 2018 S2L";"public";NA;NA;NA;10758875;"C6 2020 S1, C6 2020 S2L";"public";NA;NA;1295495.1;NA;"-0ca-0zc-7f-0zd-7f-0vm-0vn-5aa";"Base year emissions check: -0vm: stated base year emissions are 100% of calculated base year emissions (C6 2018 | TOTAL 12954951). -0vn: stated base year emissions are 100% of calculated base year emissions (CCDS 2018 | TOTAL 12954951).";"16151-abs-S12L-2017-2025-1";2.74780487804878;1;9373878;NA;3564120;"Global";9373878;3564120;NA;1;NA;"S12L";"S12L";1
16168;"Samsung Heavy Industries Co Ltd";"Investor";"public";"Republic of Korea";"Construction, Transportation equipment";"Infrastructure, Manufacturing";"Residential building construction, Shipbuilding";"Transportation equipment";"Manufacturing";"Shipbuilding";2020;"Abs 1";2015;NA;"Scope 1+2 (location-based)";2009;452710;100;2020;10;407439;NA;NA;"Underway";"No, and we do not anticipate setting one in the next 2 years";"excellent";NA;"annual";5;0.8;0.909090909090909;2019;"2019-12-31";468663;"C5.1 2020 S1, C5.1 2020 S2L";"public";NA;NA;NA;326919;"C6 2020 S1, C6 2020 S2L";"public";NA;NA;45271;NA;"-6c-0ma-0zb-7f-0zc-7f-0zd-7f-0vk-0vo-0rea-6fm-5aa";"Missing info: % of target achieved [auto-calculated]; Base year emissions check: -0vk: stated base year emissions are 104% of calculated base year emissions (C5.1 2020 | TOTAL 468663). -0vo: stated base year emissions are 98% of calculated base year emissions (DWH 2010 | TOTAL 445771).; Organizational changes: Other: 120.0% increased in 2019";"16168-abs-S12L-2009-2020-1";2.74536585365854;1;231561;NA;234981;"Global";231561;234981;NA;1;NA;"S12L";"S12L";1
16188;"Samsung Fire & Marine Insurance";"Investor";"public";"Republic of Korea";"Financial services";"Services";"Insurance";"Financial services";"Services";"Insurance";2020;"Abs 2";2012;"Company-wide";"Scope 1+2 (location-based)";2011;41645;100;2020;30;29151.5;18416;185.928682915116;"Achieved";"No, but we anticipate setting one in the next 2 years";"excellent";NA;NA;8;0.875;3.33333333333333;2019;"2019-12-31";41645;"C5.1 2020 S1, C5.1 2020 S2L";"public";NA;NA;NA;18416;"C6 2020 S1, C6 2020 S2L";"public";NA;NA;12493.5;NA;"-0ca-0e-0za-7f-0zb-7f-0zc-7f-0zd-7f-0vk-0vo-0rae-0rce-0rbe-0rce-0rca-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2020 | TOTAL 41645). -0vo: stated base year emissions are 100% of calculated base year emissions (DWH 2012 | TOTAL 41584).; Organizational changes: Change in boundary: 5.1% increased in 2019, Change in boundary: 3.5% decreased in 2018, Change in boundary: 26.35% decreased in 2017, Change in boundary: 2.06% increase in 2014, Divestment: 3.33% decrease in 2013";"16188-abs-S12L-2011-2020-1";2.94536585365854;2;6851;NA;30028;"Global";6851;30028;NA;1;NA;"S12L";"S12L";1
16188;"Samsung Fire & Marine Insurance";"Investor";"public";"Republic of Korea";"Financial services";"Services";"Insurance";"Financial services";"Services";"Insurance";2020;"Abs 3";2012;"Company-wide";"Scope 1+2 (location-based)";2011;41645;100;2036;55;18740.25;18416;101.415645226427;"Achieved";"No, but we anticipate setting one in the next 2 years";"excellent";NA;NA;24;0.291666666666667;2.2;2019;"2019-12-31";41645;"C5.1 2020 S1, C5.1 2020 S2L";"public";NA;NA;NA;18416;"C6 2020 S1, C6 2020 S2L";"public";NA;NA;22904.75;NA;"-0ca-0e-0za-7f-0zb-7f-0zc-7f-0zd-7f-0vk-0vo-0rae-0rce-0rbe-0rce-0rca-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2020 | TOTAL 41645). -0vo: stated base year emissions are 100% of calculated base year emissions (DWH 2012 | TOTAL 41584).; Organizational changes: Change in boundary: 5.1% increased in 2019, Change in boundary: 3.5% decreased in 2018, Change in boundary: 26.35% decreased in 2017, Change in boundary: 2.06% increase in 2014, Divestment: 3.33% decrease in 2013";"16188-abs-S12L-2011-2036-1";3.20317073170732;1;6851;NA;30028;"Global";6851;30028;NA;1;NA;"S12L";"S12L";1
16194;"Samsung Electro-Mechanics Co., Ltd.";"Investor";"public";"Republic of Korea";"Electrical & electronic equipment";"Manufacturing";"Electronic components";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2020;"Abs 1";2018;"Company-wide";"Scope 1+2 (location-based)";2014;991154;100;2030;45;545134.7;1309687;-71.4168646962138;"Underway";"No, but we anticipate setting one in the next 2 years";"excellent";NA;"Philippines (breakdown matches); overseas";12;0.0833333333333333;2.8125;2019;"2019-12-31";991154;"DWH 2015 S1, DWH 2015 S2L";"public";NA;NA;NA;1309687;"C5.1 2020 S1, C5.1 2020 S2L";"public";NA;NA;446019.3;NA;"-0cb-0ub-0zb-7f-0zc-7f-0zd-7f-0vo-0ta-0rca-0raa-5aa";"Base year emissions check: -0vo: stated base year emissions are 100% of calculated base year emissions (DWH 2015 | TOTAL 991154).; Found keyword(s): Philippines; Organizational changes: Divestment: 2.3% decreased in 2019, Divestment: 13.4% increased in 2018";"16194-abs-S12L-2014-2030-1";3.10024390243902;2;76506;NA;1233181;"Global";76506;1233181;NA;1;NA;"S12L";"S12L";1
16194;"Samsung Electro-Mechanics Co., Ltd.";"Investor";"public";"Republic of Korea";"Electrical & electronic equipment";"Manufacturing";"Electronic components";"Electrical & electronic equipment";"Manufacturing";"Electronic components";2020;"Abs 2";2015;"Company-wide";"Scope 1+2 (location-based)";2014;991154;100;2040;57;426196.22;1309687;-56.3817352864846;"Underway";"No, but we anticipate setting one in the next 2 years";"excellent";NA;"Philippines (breakdown matches); overseas";25;0.16;2.19230769230769;2019;"2019-12-31";991154;"DWH 2015 S1, DWH 2015 S2L";"public";NA;NA;NA;1309687;"C5.1 2020 S1, C5.1 2020 S2L";"public";NA;NA;564957.78;NA;"-0cb-0ub-0db-0za-7f-0zb-7f-0zc-7f-0zd-7f-0vo-0ta-0rca-0raa-5aa";"Base year emissions check: -0vo: stated base year emissions are 100% of calculated base year emissions (DWH 2015 | TOTAL 991154).; Found keyword(s): Philippines; Organizational changes: Divestment: 2.3% decreased in 2019, Divestment: 13.4% increased in 2018";"16194-abs-S12L-2014-2040-1";3.22512195121951;1;76506;NA;1233181;"Global";76506;1233181;NA;1;NA;"S12L";"S12L";1
16294;"Sapporo Holdings Limited";"Investor";"public";"Japan";"Bars, hotels & restaurants, Food & beverage processing, Land & property ownership & development, Road transport";"Food, beverage & agriculture, Hospitality, Infrastructure, Transportation services";"Alcoholic beverages, Food & beverage amenities, Non-alcoholic beverages, Real estate owners & developers, Road freight";"Food & beverage processing";"Food, beverage & agriculture";"Alcoholic beverages";2020;"Abs 1";2019;"Company-wide";"Scope 1+2 (market-based)";2013;214737;92;2030;20;171789.6;191884;53.211603030684;"Underway";"No, but we anticipate setting one in the next 2 years";"no assessment";NA;NA;11;0;1.17647058823529;2020;"2020-03-31";NA;NA;NA;NA;NA;NA;194749;"C6 2020 S1, C6 2020 S2M";"public";NA;NA;42947.4;NA;"-0fb-0zd-7f-0rba-0rad-0rce-0rcd-0rcd-0rab-0rcd-5ad";"Organizational changes: Divestment: 16.6% decreased in 2019,  Change in methodology: 5.7% increased in 2019,  Change in boundary: 2.6% increased in 2019, Change in methodology: 1.17% decreased in 2017, Change in methodology: 2.38% decrease in 2015,  Acquisitions: 12% increase in 2015, Change in methodology: 0.72% increase in 2014";"16294-abs-S12M-2013-2030-1";2.77024390243902;2;79617;115132;12187;"Global";79617;12187;115132;1;NA;"S12M";"S12M";1
16294;"Sapporo Holdings Limited";"Investor";"public";"Japan";"Bars, hotels & restaurants, Food & beverage processing, Land & property ownership & development, Road transport";"Food, beverage & agriculture, Hospitality, Infrastructure, Transportation services";"Alcoholic beverages, Food & beverage amenities, Non-alcoholic beverages, Real estate owners & developers, Road freight";"Food & beverage processing";"Food, beverage & agriculture";"Alcoholic beverages";2020;"Abs 2";2019;"Company-wide";"Scope 1+2 (market-based)";2013;214737;92;2050;100;0;191884;10.6423206061368;"Underway";"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";"no assessment";NA;NA;31;0;2.7027027027027;2020;"2020-03-31";NA;NA;NA;NA;NA;NA;194749;"C6 2020 S1, C6 2020 S2M";"public";NA;NA;214737;NA;"-0e-0fa-0cd-0zd-7f-0rba-0rad-0rce-0rcd-0rcd-0rab-0rcd-5ad";"Organizational changes: Divestment: 16.6% decreased in 2019,  Change in methodology: 5.7% increased in 2019,  Change in boundary: 2.6% increased in 2019, Change in methodology: 1.17% decreased in 2017, Change in methodology: 2.38% decrease in 2015,  Acquisitions: 12% increase in 2015, Change in methodology: 0.72% increase in 2014";"16294-abs-S12M-2013-2050-1";3.58;1;79617;115132;12187;"Global";79617;12187;115132;1;NA;"S12M";"S12M";1
16299;"SANOFI";"Investor";"public";"France";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2020;"Abs 1";2017;"Company-wide";"Scope 1+2 (market-based)";2015;1061492;100;2025;50;530746;929929;24.7883168219826;"Underway";"Yes, we consider this a science-based target, but this target has not been approved as science-based by the Science-Based Targets initiative";"no assessment";NA;"Research and Development (breakdown matches)";8;0.25;5;2019;"2019-09-30";NA;NA;NA;NA;NA;NA;929929;"C6 2020 S1, C6 2020 S2M";"public";NA;NA;530746;NA;"-0e-0fa-0zc-7f-0zd-7f-0tb-0rec-0rce-5ad";"Found keyword(s): Research and Development; Organizational changes: Other: 2.3% increased in 2019, Change in boundary: 1% increase in 2016";"16299-abs-S12M-2015-2025-1";3.14780487804878;2;464199;NA;610239;"Global";464199;610239;NA;1;NA;"S12M";"S12M";1
16299;"SANOFI";"Investor";"public";"France";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";"Biotech & pharma";"Biotech, health care & pharma";"Pharmaceuticals";2020;"Abs 2";2019;"Company-wide";"Scope 1+2 (market-based)";2019;929929;100;2030;55;418468.05;929929;0;"New";"Yes, this target has been approved as science-based by the Science-Based Targets initiative";"no assessment";NA;"Research and Development (breakdown matches)";11;0;5;2019;"2019-09-30";929929;"C6 2020 S1, C6 2020 S2M";"public";NA;NA;NA;929929;"C6 2020 S1, C6 2020 S2M";"public";NA;NA;511460.95;NA;"-0cb-0e-0zd-7f-0tb-5ad";"Found keyword(s): Research and Development";"16299-abs-S12M-2019-2030-1";3.20024390243902;1;559421;370508;417689;"Global";559421;417689;370508;1;NA;"S12M";"S12M";1
16339;"SAP SE";"Investor";"public";"Germany";"IT & software development, Specialized professional services";"Services";"Other professional services, Software";"IT & software development";"Services";"Software";2020;"Abs 3";2016;"Company-wide";"Scope 1+2 (location-based) +3 (upstream & downstream)";2016;9188291;100;2025;40;5512974.6;8473723;19.4423533168464;"Underway";"Yes, this target has been approved as science-based by the Science-Based Targets initiative";"excellent";NA;"Germany (breakdown matches)";9;0.333333333333333;4.44444444444444;2019;"2019-12-31";9479837;"DWH 2017 S1, DWH 2017 S2L, DWH 2017 S3.01, DWH 2017 S3.02, DWH 2017 S3.03, DWH 2017 S3.04, DWH 2017 S3.05, DWH 2017 S3.06, DWH 2017 S3.07, DWH 2017 S3.08, DWH 2017 S3.09, DWH 2017 S3.10, DWH 2017 S3.11, DWH 2017 S3.12, DWH 2017 S3.13, DWH 2017 S3.14, DWH 2017 S3.15, DWH 2017 S3.16: upstream completeness: 1 downstream completeness: 1";"public";313284;"C6 2020 S1, C6 2020 S2L";"public";14265448;"C6 2020 S1, C6 2020 S2L, C6 2020 S3.01, C6 2020 S3.02, C6 2020 S3.03, C6 2020 S3.04, C6 2020 S3.05, C6 2020 S3.06, C6 2020 S3.07, C6 2020 S3.08, C6 2020 S3.09, C6 2020 S3.10, C6 2020 S3.11, C6 2020 S3.12, C6 2020 S3.13, C6 2020 S3.14, C6 2020 S3.15, C6 2020 S3.16, C6 2020 S3.17: upstream completeness: 1 downstream completeness: 1";"public";306527;"C6 2020 , C6 2020";3675316.4;121459.664660648;"-0e-0fb-0zd-7f-0sa-0vo-0ta-0rcb-0rcb-5aa";"Base year emissions check: Base yr emissions for target scope, NA, has been calculated from the following scopes/categories: S1, S2L, S3.01, S3.02, S3.03, S3.04, S3.05, S3.06, S3.07, S3.08, S3.09, S3.10, S3.11, S3.12, S3.13, S3.14, S3.15, S3.16 (upstream completeness: 1 downstream completeness: 1). -0vo: stated base year emissions are 103% of calculated base year emissions (DWH 2017 | TOTAL 9479837).; Found keyword(s): Germany; Organizational changes: Acquisitions: 1.0% increased in 2018, Acquisitions: 1.0% increased in 2017";"16339-abs-S12L3-2016-2025-1";3.38780487804878;3;149540;1264;163744;"Global";149540;163744;1264;1;121459.664660648;"S12L3";"S12L";1
16365;"SAS";"Investor";"public";"Sweden";"Air transport";"Transportation services";"Passenger airlines";"Air transport";"Transportation services";"Passenger airlines";2020;"Abs 1";2018;"Company-wide";"Scope 1+2 (location-based)";2005;4444000;100;2030;25;3333000;4225000;19.7119711971197;"Underway";"No, but we anticipate setting one in the next 2 years";"no assessment";NA;NA;12;0.0833333333333333;1;2019;"2019-10-31";NA;NA;NA;NA;NA;NA;4234800;"C6 2020 S1, C6 2020 S2L";"public";NA;NA;1111000;NA;"-0e-0fa-0zc-7f-0zd-7f-0rca-5ad";"Organizational changes: Divestment: 2.6% decrease in 2013";"16365-abs-S12L-2005-2030-1";2.90024390243902;2;3784000;NA;NA;"Global";3784000;NA;NA;1;NA;"S12L";"S12L";NA
16365;"SAS";"Investor";"public";"Sweden";"Air transport";"Transportation services";"Passenger airlines";"Air transport";"Transportation services";"Passenger airlines";2020;"Abs 2";2018;"Company-wide";"Scope 1+2 (location-based)";2005;4444000;100;2050;50;2222000;4225000;9.85598559855986;"Underway";"No, but we anticipate setting one in the next 2 years";"no assessment";NA;NA;32;0.03125;1.11111111111111;2019;"2019-10-31";NA;NA;NA;NA;NA;NA;4234800;"C6 2020 S1, C6 2020 S2L";"public";NA;NA;2222000;NA;"-0e-0fa-0zd-7f-0rca-5ad";"Organizational changes: Divestment: 2.6% decrease in 2013";"16365-abs-S12L-2005-2050-1";3.16;1;3784000;NA;NA;"Global";3784000;NA;NA;1;NA;"S12L";"S12L";NA
16366;"Sasol Limited";"Investor";"public";"South Africa";"Chemicals, Oil & gas extraction & production, Oil & gas processing";"Fossil Fuels, Materials";"Natural gas extraction, Oil & gas extraction, Oil & gas refining, Other base chemicals";"Chemicals";"Materials";"Other base chemicals";2020;"Abs 1";2016;"Country/region";"Scope 1";2014;57954000;100;2020;0;57954000;57179724;NA;"Underway";"No, and we do not anticipate setting one in the next 2 years";"excellent";NA;"South Africa (breakdown matches)";4;0.5;0;2019;"2019-06-30";61774240;"DWH 2015 S1";"public";NA;NA;NA;58904950;"C6 2020 S1";"public";NA;NA;0;NA;"-6c-0ce-0za-7f-0zb-7f-0zc-7f-0zd-7f-0vo-0ta-6fm-5aa";"Missing info: % of target achieved [auto-calculated]; Base year emissions check: -0vo: stated base year emissions are 107% of calculated base year emissions (DWH 2015 | TOTAL 61774240).; Found keyword(s): South Africa";"16366-abs-S1-2014-2020-1";2.31536585365854;2;61774240;NA;8727000;"Global";61774240;8727000;NA;1;NA;"S1";"S1";1
16366;"Sasol Limited";"Investor";"public";"South Africa";"Chemicals, Oil & gas extraction & production, Oil & gas processing";"Fossil Fuels, Materials";"Natural gas extraction, Oil & gas extraction, Oil & gas refining, Other base chemicals";"Chemicals";"Materials";"Other base chemicals";2020;"Abs 2";2019;"Country/region";"Scope 1+2 (location-based)";2017;63900000;100;2030;10;57510000;62694000;18.8732394366197;"Underway";"No, and we do not anticipate setting one in the next 2 years";"excellent";NA;"South Africa (breakdown matches)";11;-0.0909090909090909;0.769230769230769;2019;"2019-06-30";64940000;"C5.1 2020 S1, C5.1 2020 S2L";"public";NA;NA;NA;66557950;"C6 2020 S1, C6 2020 S2L";"public";NA;NA;6390000;NA;"-0zd-7f-0vk-0vm-0vn-0ta-5aa";"Base year emissions check: -0vk: stated base year emissions are 102% of calculated base year emissions (C5.1 2020 | TOTAL 64940000). -0vm: stated base year emissions are 102% of calculated base year emissions (C6 2018 | TOTAL 64940000). -0vn: stated base year emissions are 102% of calculated base year emissions (CCDS 2018 | TOTAL 64940000).; Found keyword(s): South Africa";"16366-abs-S12L-2017-2030-1";2.75024390243902;1;61203693;0;8046223;"Global";61203693;8046223;0;1;NA;"S12L";"S12L";1
16406;"Scandic Hotels Group";"Investor";"public";"Sweden";"Bars, hotels & restaurants";"Hospitality";"Hotels & lodging";"Bars, hotels & restaurants";"Hospitality";"Hotels & lodging";2020;"Abs 1";2015;"Other, please specify: use of electricity from renewable sources";"Scope 2 (market-based)";2015;3856.7;12.3;2020;100;0;911.5;76.365804962792;"Underway";"No, and we do not anticipate setting one in the next 2 years";"excellent";NA;"Finland (breakdown matches)";5;0.8;20;2019;"2019-12-31";31406;"C5.1 2020 S2M";"public";NA;NA;NA;34955.1;"C6 2020 S2M";"public";NA;NA;3856.7;NA;"-0e-0e-0cd-0zb-7f-0zc-7f-0zd-7f-0vk-0wao-0ta-0rec-0rec-0rab-0rcb-0rec-0rce-0rbd-0rab-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2020 | TOTAL 3862.938). -0wao: stated base year emissions are Inf% higher than calculated base year emissions (DWH 2016 | TOTAL 0).; Found keyword(s): Finland; Organizational changes: Other: 0.6% increased in 2019, Other: 2.0% increased in 2018,  Acquisitions: 106.7% increased in 2018, Acquisitions: 1.1% increased in 2017,  Other: 0.7% increased in 2017,  Change in boundary: 1.3% increased in 2017,  Change in methodology: 26.4% decreased in 2017, Acquisitions: 10.4% increase in 2016";"16406-abs-S2M-2015-2020-1";2.10836585365854;1;1752.9;34955.1;70363.7;"Global";1752.9;70363.7;34955.1;1;NA;"S2M";"S2M";1
16423;"Schneider Electric";"Investor";"public";"France";"Electrical & electronic equipment";"Manufacturing";"Electrical equipment, Electronic equipment";"Electrical & electronic equipment";"Manufacturing";"Electrical equipment";2020;"Abs 1";2018;"Company-wide";"Scope 1+2 (market-based)";2017;698162;100;2030;100;0;436376;37.4964549774981;"Underway";"Yes, this target has been approved as science-based by the Science-Based Targets initiative";"excellent";NA;NA;12;0.0833333333333333;7.69230769230769;2019;"2019-12-31";698162;"C5.1 2020 S1, C5.1 2020 S2M";"public";NA;NA;NA;436376;"C6 2020 S1, C6 2020 S2M";"public";NA;NA;698162;NA;"-0e-0fa-0e-0fa-0cd-0zc-7ga-0zd-7f-0vk-0wamq-0wanq-0rec-0rec-5aa";"Base year emissions check: -0vk: stated base year emissions are 100% of calculated base year emissions (C5.1 2020 | TOTAL 698162). -0wamq: stated base year emissions are 48% higher than calculated base year emissions (C6 2018 | TOTAL 471325). -0wanq: stated base year emissions are 48% higher than calculated base year emissions (CCDS 2018 | TOTAL 471325).; Organizational changes: Other: 0.0% decreased in 2019, Other: 1.0% decreased in 2018";"16423-abs-S12M-2017-2030-1";3.65024390243902;1;85852;NA;381269;"Global";85852;381269;NA;1;NA;"S12M";"S12M";1
16525;"Schibsted ASA";"Investor";"public";"Norway";"Print & publishing services";"Services";"Print publishing";"Print & publishing services";"Services";"Print publishing";2020;"Abs 1";2019;"Business activity";"Scope 1+2 (location-based) +3 (downstream)";2019;3863;10;2025;0;3863;3863;NA;"New";"No, but we anticipate setting one in the next 2 years";"no assessment";NA;"Norway (breakdown matches)";6;0;0;2019;"2019-12-31";4883;"C6 2020 S1, C6 2020 S2L, C6 2020 S3.09, C6 2020 S3.10, C6 2020 S3.11, C6 2020 S3.12, C6 2020 S3.13, C6 2020 S3.14, C6 2020 S3.15: downstream completeness: 1";"public";1447;"C6 2020 S1, C6 2020 S2L";"public";4883;"C6 2020 S1, C6 2020 S2L, C6 2020 S3.09, C6 2020 S3.10, C6 2020 S3.11, C6 2020 S3.12, C6 2020 S3.13, C6 2020 S3.14, C6 2020 S3.15: downstream completeness: 1";"public";1447;"C6 2020 , C6 2020";0;0;"-6c-0ce-0zd-7f-0ta-6fm-5ad";"Missing info: % of target achieved [auto-calculated]; Found keyword(s): Norway";"16525-abs-S12L3-2019-2025-1";2.08780487804878;1;262;NA;1185;"Global";262;1185;NA;1;0;"S12L3";"S12L";1
16558;"SSE";"Investor";"public";"United Kingdom of Great Britain and Northern Ireland";"Energy utility networks, Industrial support services, Oil & gas extraction & production, Oil & gas storage & transportation, Renewable power generation";"Fossil Fuels, Infrastructure, Power generation, Services";"Electricity networks, Gas utilities, Industrial services, Oil & gas extraction, Oil & gas pipelines & storage, Other renewable generation";"Renewable power generation";"Power generation";"Other renewable generation";2020;"Abs 1";2020;"Company-wide";"Scope 1+2 (location-based)";2018;11062493;100;2030;40;6637495.8;8907635;48.697386746369;"Underway";"Yes, this target has been approved as science-based by the Science-Based Targets initiative";"excellent";NA;NA;10;-0.1;3.33333333333333;2020;"2020-03-31";10960012;"C6 2018 S1, C6 2018 S2L";"public";NA;NA;NA;8907655;"C5.1 2020 S1, C5.1 2020 S2L";"public";NA;NA;4424997.2;NA;"-0e-0fa-0zc-7ga-0zd-7f-0vm-0vn-0rcd-5aa";"Base year emissions check: -0vm: stated base year emissions are 99% of calculated base year emissions (C6 2018 | TOTAL 10960012). -0vn: stated base year emissions are 99% of calculated base year emissions (CCDS 2018 | TOTAL 10960012).; Organizational changes: Change in methodology: 0.0% decreased in 2019";"16558-abs-S12L-2018-2030-1";3.05024390243902;1;8004371;NA;1034320;"Global";8004371;1034320;NA;1;NA;"S12L";"S12L";1
