"nr_countries";"account_id";"company_name";"Scope(s) (or Scope 3 category)";"Base year";"Target year";"Target coverage";"Targeted reduction from base year (%)";"BY_covered";"BY_100";"BY_100_excl_scope3";"MRY_100";"MRY_100_scope3"
3;641;"Amer Sports";"Scope 1+2 (location-based)";2019;2030;"Business division";30;0;119019;0;119019;0
1;661;"Ameren Corporation";"Scope 1";2005;2030;"Business activity";35;35754207;0;0;24413651;0
1;661;"Ameren Corporation";"Scope 1";2005;2040;"Business activity";50;35754207;0;0;24413651;0
1;661;"Ameren Corporation";"Scope 1";2005;2050;"Business activity";80;35754207;0;0;24413651;0
3;661;"Ameren Corporation";"Scope 1";2018;2019;"Business division";0;88763928;88763928;0;73240953;0
1;689;"American Electric Power Company, Inc.";"Scope 1";2000;2050;"Company-wide";80;167000000;0;0;64776308;0
1;689;"American Electric Power Company, Inc.";"Scope 1";2010;2020;NA;10;134000000;140917311;0;64776308;0
6;692;"American Express";"Other, please specify: Scope 1+2 (market-based)+Scope 3 (business travel)";2011;2025;"Company-wide";100;1130094;0;0;0;0
6;692;"American Express";"Other, please specify: Scope 1+2 (market-based)+Scope 3 (business travel)";2011;2040;"Company-wide";100;1130094;0;0;0;0
2;699;"American International Group, Inc. (AIG)";"Scope 1+2 (location-based)";2010;2020;"Country/region";20;7928;0;0;221804;0
17;706;"American Tower Corp.";"Scope 1";2017;2027;NA;60;11068105;11068105;0;9456777;0
4;710;"AmerisourceBergen Corp.";"Scope 2 (location-based)";2016;2020;"Company-wide";3;340045.96;340045.96;0;346855.44;0
55;716;"Amgen, Inc.";"Scope 1+2 (location-based)";2012;2020;"Company-wide";10;21175000;22365585;0;17043180;0
2;722;"AmorePacific Corporation";"Scope 1+2 (location-based)";2018;2030;"Company-wide";50;103902;113048;0;107794;0
3;724;"AMP";"Scope 1+2 (location-based)";2013;2021;"Company-wide";40;62490;62490;0;24642;0
3;724;"AMP";"Scope 1+2 (location-based)";2019;2030;"Company-wide";42;24642;24642;0;24642;0
5;746;"Analog Devices, Inc.";"Scope 1+2 (market-based)";2015;2025;"Company-wide";50;1095285;1095285;0;686605;0
1;769;"Anglian Water";"Scope 1+2 (location-based) +3 (upstream & downstream)";2015;2020;"Company-wide";7;455335;0;413182;2558065;268831
1;769;"Anglian Water";"Scope 1+2 (location-based) +3 (upstream & downstream)";2020;2025;"Company-wide";10;298576;2558065;268831;2558065;268831
1;769;"Anglian Water";"Scope 1+2 (location-based) +3 (upstream & downstream)";2020;2030;"Company-wide";100;298576;2558065;268831;2558065;268831
1;769;"Anglian Water";"Scope 3: Capital goods";2010;2030;"Company-wide";70;260390;0;0;34840;0
9;772;"Anglo American";"Scope 1+2 (location-based)";2015;2020;"Company-wide";22;126382500;0;0;159695847;0
9;772;"Anglo American";"Scope 1+2 (location-based)";2016;2030;"Company-wide";30;131339997;131340006;0;159695847;0
2;777;"Anglo American Platinum";"Scope 1+2 (location-based)";2015;2020;"Company-wide";10;8651666;11756428;0;8871038;0
2;777;"Anglo American Platinum";"Scope 1+2 (location-based)";2016;2030;"Company-wide";30;11158412;8486666;0;8871038;0
1;814;"ATRESMEDIA CORPORACION";"Scope 1+2 (market-based)";2019;2025;"Company-wide";81;10051;10051;0;10051;0
2;820;"Antofagasta";"Scope 1+2 (location-based)";2017;2022;"Company-wide";3;5853130;6047874;0;4967252;0
4;825;"Aon plc";"Scope 1+2 (location-based)";2015;2020;"Company-wide";15;518568;0;0;206918;0
1;830;"Aoyama Trading Co., Ltd.";"Scope 2 (market-based)";2009;2025;"Company-wide";27;93133;0;0;64696;0
18;846;"AptarGroup";"Scope 1+2 (market-based)";2019;2030;"Company-wide";28;1534626;1534626;0;1534626;0
18;846;"AptarGroup";"Scope 3 (upstream)";2019;2030;"Company-wide";14;4224564;6283296;0;6283296;0
5;865;"Apple Inc.";"Scope 1+2 (market-based)";2012;2020;"Company-wide";7;802000;0;0;252745;0
5;865;"Apple Inc.";"Scope 1+2 (market-based)";2012;2036;"Company-wide";52;802000;0;0;252745;0
5;865;"Apple Inc.";"Scope 1+2 (market-based) +3 (upstream & downstream)";2015;2030;"Company-wide";75;192000000;161952285;352785;125578745;252745
5;865;"Apple Inc.";"Scope 2 (market-based)";2011;2019;"Company-wide";100;771350;771500;0;0;0
13;868;"Applied Materials Inc.";"Scope 1+2 (market-based)";2018;2020;"Company-wide";1;1975779;0;0;0;0
11;894;"Arcadis";"Scope 1+2 (location-based) +3 (upstream & downstream)";2008;2030;"Company-wide";100;978241;0;589347;765699;280324
11;894;"Arcadis";"Scope 1+2 (market-based)";2010;2020;"Country/region";30;91828;0;0;262977;0
3;895;"Arcadyan Technology Corporation";"Scope 1+2 (location-based)";2017;2019;"Company-wide";15;48021;48021;0;0;0
38;912;"Archer Daniels Midland";"Scope 1+2 (location-based)";2019;2035;"Company-wide";0;676780000;676780000;0;676780000;0
1;917;"Gigaset AG";"Scope 1+2 (market-based)";2019;2024;"Company-wide";20;3891;3891;0;3891;0
3;943;"ARKEMA";"Scope 1+2 (market-based)";2015;2030;"Company-wide";37.5;14160000;12900000;0;11520000;0
15;992;"Asahi Group Holdings, Ltd.";"Scope 1+2 (market-based)";2015;2030;"Country/region";30;7878375;9310590;0;13632330;0
15;992;"Asahi Group Holdings, Ltd.";"Scope 1+2 (market-based)";2015;2050;"Country/region";100;7878375;9310590;0;13632330;0
12;994;"Asahi Kasei Corporation";"Scope 1+2 (market-based)";2005;2020;"Company-wide";35;71078748;0;0;47359116;0
1;1029;"de Volksbank N.V.";"Scope 1+2 (market-based) +3 (upstream & downstream)";2014;2020;"Company-wide";50;9568;0;2751;4496;1750
1;1037;"Asia Vital Components Co., LTD";"Scope 1+2 (location-based)";2018;2019;"Site/facility";2.5;49309.18;49309.18;0;46564.73;0
38;1046;"Asics Corporation";"Scope 1+2 (market-based)";2015;2020;"Company-wide";5;1172604;1172604;0;988418;0
38;1046;"Asics Corporation";"Scope 1+2 (market-based)";2015;2030;"Company-wide";38;1172604;1172604;0;988418;0
3;1048;"ASML Holding";"Scope 1+2 (market-based)";2019;2025;"Company-wide";100;474900;474900;0;474900;0
57;1051;"Astellas Pharma Inc.";"Scope 1+2 (market-based)";2015;2030;"Company-wide";30;11524830;12898929;0;0;0
7;1076;"Assicurazioni Generali Spa";"Scope 1+2 (location-based) +3 (upstream)";2013;2020;"Country/region";20;848127;689135.3;523194;677490.8;445613
7;1076;"Assicurazioni Generali Spa";"Scope 1+2 (market-based) +3 (upstream)";2013;2020;"Country/region";20;518742;0;193809;419610.8;187733
44;1085;"Associated British Foods";"Scope 1+2 (location-based) +3 (upstream & downstream)";2018;2030;"Business division";30;0;244218040;182728260;233990988;175692484
2;1087;"Assurant, Inc.";"Scope 2 (location-based)";2019;2020;"Company-wide";2;54848;45826;0;45826;0
7;1104;"AstraZeneca";"Scope 1";2015;2025;"Company-wide";20;2245460;2245460;0;2000586;0
7;1104;"AstraZeneca";"Scope 2 (market-based)";2015;2025;"Company-wide";95;2356823;2356823;0;937797;0
7;1104;"AstraZeneca";"Scope 3 (upstream & downstream)";2015;2030;"Company-wide";100;50415344;52628653;0;50642242;0
3;1104;"AstraZeneca";"Scope 3: Business travel";2017;2025;"Company-wide";20;337455;425655;0;702048;0
7;1104;"AstraZeneca";"Scope 3: Purchased goods & services";2015;2025;"Business activity";20;675374;40560114;0;34536782;0
7;1104;"AstraZeneca";"Scope 3: Upstream transportation & distribution";2015;2025;"Company-wide";20;974050;1425788;0;1826125;0
7;1104;"AstraZeneca";"Scope 3: Waste generated in operations";2015;2025;"Company-wide";20;157465;208768;0;174741;0
4;1106;"ASUSTeK Computer Inc";"Scope 1+2 (location-based)";2008;2025;"Country/region";50;62376;62376;0;73072;0
4;1106;"ASUSTeK Computer Inc";"Scope 3: Purchased goods & services";2019;2019;"Other, please specify";0;70485604;620468676;0;620468676;0
2;1113;"AT&T Inc.";"Scope 1";2008;2020;"Company-wide";20;2708108;2708108;0;1981910;0
2;1113;"AT&T Inc.";"Scope 1";2008;2020;"Country/region";30;1731554;2708108;0;1981910;0
2;1113;"AT&T Inc.";"Scope 1+2 (market-based)";2015;2030;"Company-wide";26;17533606;0;0;13050086;0
5;1115;"Atea ASA";"Scope 1+2 (location-based)";2015;2030;"Company-wide";43;38065;43416;0;31068;0
5;1115;"Atea ASA";"Scope 1+2 (location-based)";2015;2040;"Company-wide";57;38065;43416;0;31068;0
5;1115;"Atea ASA";"Scope 3 (upstream & downstream)";2015;2030;"Company-wide";43;1590135;30654.5;0;2090690;0
5;1115;"Atea ASA";"Scope 3 (upstream & downstream)";2015;2040;"Company-wide";72;1590135;30654.5;0;2090690;0
6;1134;"Atlantia";"Scope 1";2015;2020;"Business division";10;387006;893586;0;1154562;0
6;1134;"Atlantia";"Scope 1+2 (location-based)";2015;2020;"Business division";6;463680;1364172;0;1155543.372;0
6;1134;"Atlantia";"Scope 2 (location-based)";2015;2020;"Business division";10;346506;470586;0;981.372;0
39;1149;"Atos SE";"Other, please specify: S 1+2 (L+M), + S3 Upstream Cats 3&6";2012;2021;"Company-wide";15.3;18088785;0;0;0;0
39;1149;"Atos SE";"Other, please specify: S 1+2 (L+M), + S3 Upstream Cats 3&6";2012;2050;"Company-wide";48.08;18088785;0;0;0;0
4;1158;"AU Optronics";"Scope 1+2 (location-based)";2018;2024;"Company-wide";13.7;14275148;14275149.88;0;12578280.04;0
4;1158;"AU Optronics";"Scope 1+2 (location-based) +3 (upstream & downstream)";2015;2020;"Company-wide";24.7;16200000;0;0;73463084.04;12578280.04
2;1177;"Aurubis AG";"Scope 1+2 (market-based)";2013;2022;"Company-wide";8.6;2324642;0;0;2888694;0
4;1179;"Guala Closures Group";"Scope 1";2016;NA;"Company-wide";25;134464;163496;0;148480;0
33;1187;"Australia and New Zealand Banking Group";"Scope 1+2 (location-based)";2015;2025;"Company-wide";24;6914523;6914556;0;5166744;0
33;1187;"Australia and New Zealand Banking Group";"Scope 1+2 (location-based)";2015;2030;"Company-wide";35;6914523;6914556;0;5166744;0
25;1198;"Autodesk, Inc.";"Scope 1+2 (market-based) +3 (upstream & downstream)";2009;2020;"Company-wide";43;7535875;0;557925;6020422.5;82275
25;1198;"Autodesk, Inc.";"Scope 1+2 (market-based) +3 (upstream & downstream)";2009;2050;"Company-wide";85;7535875;0;557925;6020422.5;82275
19;1203;"Automatic Data Processing, Inc.";"Scope 1+2 (location-based)";2014;2020;"Company-wide";10;2371580;2371561;0;2507290.35;0
19;1213;"Avaya";"Other, please specify: Scope 3 (All Categories)";2014;2020;"Company-wide";0.05;15946016;0;0;0;0
19;1213;"Avaya";"Scope 1+2 (location-based)";2014;2020;"Company-wide";15;2005830;2005830;0;698364;0
4;1227;"Avery Dennison Corporation";"Scope 1+2 (market-based)";2015;2025;"Company-wide";26;2766212;2766212;0;1895696;0
18;1268;"Aviva plc";"Scope 1+2 (location-based) +3 (upstream)";2010;2030;"Company-wide";70;2632464;0;0;4472395.56;639835.2
18;1268;"Aviva plc";"Scope 1+2 (location-based) +3 (upstream)";2018;2019;NA;5;1061082;15114870;741780;4472395.56;639835.2
6;1271;"Avon Products, Inc.";"Scope 1+2 (location-based)";2005;2020;NA;20;400962;455370;0;558252;0
41;1287;"AXA Group";"Scope 1";2018;2025;"Company-wide";24;1589898;1589898;0;1553449;0
41;1287;"AXA Group";"Scope 2 (market-based)";2018;2025;"Company-wide";35;2835560;2835560;0;2573365;0
41;1287;"AXA Group";"Scope 3: Business travel";2018;2025;"Company-wide";15;2662868;2662868;0;3713944;0
32;1328;"Ball Corporation";"Scope 1+2 (market-based)";2017;2030;"Company-wide";55;37370688;45123744;0;39774144;0
32;1328;"Ball Corporation";"Scope 3 (upstream & downstream)";2017;2030;"Company-wide";16;271648704;423908480;0;276353440;0
7;1344;"BAE Systems";"Scope 1+2 (location-based)";2018;2019;"Business division";7;332129;7143549;0;6758052;0
6;1356;"Baker Hughes Company";"Scope 1+2 (market-based)";2012;2020;"Company-wide";17;5766000;5766000;0;3979086;0
6;1356;"Baker Hughes Company";"Scope 1+2 (market-based)";2012;2030;"Company-wide";50;5766000;5766000;0;3979086;0
6;1356;"Baker Hughes Company";"Scope 1+2 (market-based)";2012;2050;"Company-wide";100;5766000;5766000;0;3979086;0
1;1395;"Banco Bradesco S/A";"Other, please specify: Scope 3: upstream transportation and distribution + waste generated in operations + business travel + employee commuting";2018;2019;"Company-wide";0.15;173818.74;0;0;0;0
1;1395;"Banco Bradesco S/A";"Scope 1";2018;2019;"Company-wide";0.13;13591.84;13591.84;0;10333.76;0
1;1395;"Banco Bradesco S/A";"Scope 2 (location-based)";2018;2019;"Company-wide";4.29;37577.67;37577.67;0;38641.73;0
3;1397;"Banco Comercial Português SA";"Other, please specify: Scope 1 + Scope 2 + Scope 3";2018;2019;"Country/region";7;49365;0;0;0;0
3;1397;"Banco Comercial Português SA";"Other, please specify: Scope 1 + Scope 2 + Scope 3";2019;2020;"Country/region";5;47517;0;0;0;0
1;1405;"Banco do Brasil S/A";"Scope 2 (location-based)";2017;2019;"Company-wide";2;43721.79;55561;0;42848.79;0
1;1408;"Banco de Galicia y Buenos Aires S.A.U";"Scope 2 (location-based)";2017;2020;"Company-wide";28.23;30970.94;30972;0;22228;0
2;1417;"Bank of Montreal";"Scope 1+2 (location-based) +3 (upstream)";2016;2021;"Company-wide";15;350536;350535.34;306340;322628;272258
10;1441;"Banco Santander";"Scope 1+2 (location-based) +3 (downstream)";2018;2021;"Country/region";1.93;3799880;0;3959090;3389020;0
10;1441;"Banco Santander";"Scope 1+2 (location-based) +3 (downstream)";2019;2020;"Country/region";100;3211640;3389020;0;3389020;0
18;1452;"Bank of America";"Scope 1+2 (location-based)";2010;2020;"Company-wide";50;32137506;32137506;0;14245380;0
18;1452;"Bank of America";"Scope 1+2 (market-based)";2010;2020;"Company-wide";100;31516902;31516884;0;1442916;0
18;1452;"Bank of America";"Scope 1+2 (market-based)";2010;2040;"Company-wide";100;31516902;31516884;0;1442916;0
1;1458;"Banque Cantonale Vaudoise";"Scope 1+2 (market-based) +3 (upstream)";2010;2025;"Company-wide";11.3;12369;0;9307;6443;2001
2;1464;"BNY Mellon";"Scope 1+2 (location-based)";2018;2025;"Company-wide";20;300314;300314;0;276614;0
2;1464;"BNY Mellon";"Scope 1+2 (market-based)";2014;2040;"Company-wide";92;428322;0;0;22998;0
2;1464;"BNY Mellon";"Scope 2 (market-based)";2014;2020;"Company-wide";96;410394;0;0;6794;0
41;1470;"Bank of Nova Scotia (Scotiabank)";"Scope 1+2 (location-based)";2016;2021;"Company-wide";10;5688873;5688873;0;4699174;0
41;1470;"Bank of Nova Scotia (Scotiabank)";"Scope 1+2 (location-based)";2016;2025;"Company-wide";25;5688873;5688873;0;4699174;0
1;1481;"The Bank of Yokohama, Ltd.";"Scope 1+2 (market-based)";2013;2030;"Company-wide";26;24657;0;0;20089;0
2;1487;"Bankinter";"Scope 1+2 (market-based)";2012;2020;"Company-wide";10;20534;20796;0;4268.8;0
2;1487;"Bankinter";"Scope 1+2 (market-based)";2018;2020;"Business division";100;13242;13242.24;0;4268.8;0
2;1487;"Bankinter";"Scope 2 (market-based)";2012;2019;NA;14;19078.48;19078;0;2387.94;0
2;1487;"Bankinter";"Scope 3: Purchased goods & services";2012;2020;"Country/region";14;892;0;0;925.14;0
5;1502;"Barclays";"Other, please specify: Scope 2 (market-based) Waste";2018;2021;"Company-wide";80;1432995;0;0;0;0
5;1502;"Barclays";"Scope 1+2 (market-based)";2018;2025;"Company-wide";80;1432995;1432995;0;671735;0
12;1516;"BASF SE";"Scope 1+2 (market-based)";2018;2030;"Company-wide";0;262644000;271920000;0;250104000;0
1;1535;"A.G. Barr Plc";"Scope 1+2 (location-based)";2015;2025;"Company-wide";40;17522;17119;0;14367;0
12;1536;"Barrick Gold Corporation";"Scope 1+2 (market-based)";2018;2030;"Company-wide";10;90000000;90491052;0;80532000;0
41;1574;"Baxter International Inc.";"Scope 1+2 (market-based)";2015;2020;"Company-wide";10;29684000;29684000;0;25338000;0
12;1581;"Bayer AG";"Scope 1+2 (market-based)";2019;2029;"Company-wide";42;44520000;44520000;0;44520000;0
12;1581;"Bayer AG";"Scope 3 (upstream)";2019;2029;"Company-wide";12.3;105744000;111192000;0;111192000;0
18;1591;"BBA Aviation";"Scope 1+2 (location-based)";2018;2025;"Company-wide";29;1595970;1563678;0;1558508.4;0
18;1591;"BBA Aviation";"Scope 1+2 (location-based)";2018;2030;"Company-wide";50;1595970;1563678;0;1558508.4;0
18;1591;"BBA Aviation";"Scope 1+2 (location-based)";2018;2050;"Company-wide";100;1595970;1563678;0;1558508.4;0
36;1592;"BayWa AG Munich";"Scope 1+2 (market-based)";2017;2025;"Company-wide";22;5508216;5508252;0;5551704;0
12;1613;"BBVA";"Scope 1+2 (market-based)";2015;2025;"Company-wide";68;3250867.44;3250867.44;0;2549868;0
12;1613;"BBVA";"Scope 1+2 (market-based)";2015;2050;"Company-wide";90;3250867.44;3250867.44;0;2549868;0
6;1641;"Beiersdorf AG";"Scope 1+2 (market-based)";2018;2025;"Company-wide";30;297156;297156;0;262020;0
6;1641;"Beiersdorf AG";"Scope 3 (upstream & downstream)";2018;2025;"Company-wide";30;6732198;9150426;0;9063798;0
1;1650;"Berner Kantonalbank AG BEKB";"Scope 1+2 (market-based)";2004;2022;"Company-wide";61;1643;0;0;488;0
1;1650;"Berner Kantonalbank AG BEKB";"Scope 1+2 (market-based)";2004;2036;"Company-wide";70;1643;0;0;488;0
1;1650;"Berner Kantonalbank AG BEKB";"Scope 1+2 (market-based)";2012;2022;"Company-wide";12;720;0;0;488;0
1;1650;"Berner Kantonalbank AG BEKB";"Scope 1+2 (market-based) +3 (upstream)";2015;2019;"Company-wide";5;1419;1213;702;1064;488
4;1652;"Proximus";"Other, please specify: Scope 1 +2 (Market based) + 3 scope 3 cat";2007;2020;"Company-wide";70;716852;0;0;0;0
4;1652;"Proximus";"Scope 1+2 (market-based)";2015;2025;"Company-wide";30;201272;182284;0;147812;0
4;1652;"Proximus";"Scope 3 (upstream & downstream)";2014;2025;"Company-wide";10;3068788;54356;0;2966424;0
4;1652;"Proximus";"Scope 3 (upstream & downstream)";2014;2040;"Company-wide";50;3068788;54356;0;2966424;0
