"dataset_year";"Account number";"Organization";"Target reference number";"Scope(s) (or Scope 3 category)";"Target coverage";"Targeted reduction from base year (%)";"Base year";"Year target was set";"Covered emissions in base year (metric tons CO2e)";"Target year";"% of target achieved ";"Target status in reporting year";"Covered emissions in reporting year (metric tons CO2e)"
"2018";7814;"Aimia Inc.";"Abs 2";"Scope 3: Business travel";"100.0";100;"2017.0";"2017.0";4452;2017;100;"Retired";0
"2018";7814;"Aimia Inc.";"Abs 3";"Scope 3: Purchased goods & services";"100.0";100;"2017.0";"2017.0";167;2017;100;"Retired";0
"2018";429;"Air France - KLM";"Abs 1";"Scope 1";"100.0";50;"2005.0";"2005.0";24907000;2050;9;"Underway";23786185
"2018";41240;"Airsys";"Abs 5";"Scope 2 (market-based)";"3.0";2;"2016.0";"2016.0";2017;2017;90;"Underway";1980.694
"2018";453;"AK Steel Holding Corporation";"Abs 1";"Scope 1";"100.0";18.1;"2015.0";"2016.0";8092985;2025;18.8;"Underway";7817596.90642
"2018";462;"AkzoNobel";"Abs 1";"Scope 1 +2 (market-based)";"100.0";0;"2008.0";"2008.0";4600000;2020;100;"Underway";4600000
"2018";462;"AkzoNobel";"Abs 2";"Scope 1 +2 (market-based)";"100.0";100;"2012.0";"2017.0";4700000;2050;13;"Underway";4089000
"2018";23612;"All Access Apparel, Inc.";"Abs 1";"Scope 1+2 (location-based)";"100.0";22.73;"2013.0";"2013.0";236.82;2020;90.92;"Underway";187.8785040888
"2018";533;"Allergan plc";"Abs 1";"Scope 1 +2 (market-based)";"61.0";20;"2015.0";"2015.0";86200;2020;100;"Underway";68960
"2018";578;"Alliance One International Inc.";"Abs 1";"Scope 1+2 (location-based)";"100.0";10;"2014.0";"2014.0";364148;2020;46;"Underway";347397.192
"2018";569;"Alma Media Corporation";"Abs 1";"Scope 1 +2 (market-based)";"98.0";21;"2016.0";"2017.0";5404;2025;28.6;"Underway";5079.43576
"2018";21355;"Almirall S.A.";"Abs 1";"Scope 1+2 (location-based)";"100.0";2;"2017.0";"2017.0";16353;2017;100;"Expired";16025.94
"2018";21355;"Almirall S.A.";"Abs 2";"Scope 1+2 (location-based)";"37.0";1.9;"2017.0";"2017.0";6058;2017;100;"Expired";5942.898
"2018";21355;"Almirall S.A.";"Abs 3";"Scope 2 (location-based)";"12.0";4.3;"2017.0";"2017.0";2041;2017;100;"Expired";1953.237
"2018";21355;"Almirall S.A.";"Abs 4";"Scope 1+2 (location-based)";"25.0";2.3;"2017.0";"2017.0";4110;2017;100;"Expired";4015.47
"2018";21355;"Almirall S.A.";"Abs 5";"Scope 2 (location-based)";"19.0";0.6;"2017.0";"2017.0";3049;2017;10.5;"Expired";3047.07913
"2018";573;"Alpha Bank";"Abs 1";"Scope 1+2 (location-based)";"100.0";10;"2016.0";"2016.0";54689;2017;100;"Expired";49220.1
"2018";7616;"Alphabet, Inc.";"Abs 1";"Scope 1+2 (market-based) +3 (upstream)";"100.0";100;"2017.0";"2017.0";931942;2017;100;"Expired";0
"2018";7616;"Alphabet, Inc.";"Abs 2";"Scope 1 +2 (market-based)";"100.0";100;"2015.0";"2015.0";1451418;2025;83;"Underway";246741.06
"2018";7616;"Alphabet, Inc.";"Abs 3";"Scope 1 +2 (market-based)";"100.0";100;"2015.0";"2015.0";1451418;2040;100;"Underway";0
"2018";625;"alstria office REIT-AG";"Abs 1";"Scope 2 (market-based)";"98.0";95;"2013.0";"2015.0";2347;2020;76;"Underway";652.466
"2018";625;"alstria office REIT-AG";"Abs 2";"Scope 3: Downstream leased assets";"98.0";50;"2013.0";"2015.0";49696;2040;21;"Underway";44477.92
"2018";638;"Alten";"Abs 1";"Scope 3: Business travel";"62.0";10;"2013.0";"2014.0";11280;2017;100;"Expired";10152
"2018";628;"Altria Group, Inc.";"Abs 1";"Scope 1+2 (location-based)";"100.0";13.3;"2015.0";"2016.0";392172;2025;66.5;"Underway";357486.34746
"2018";31917;"Amadeus IT Group, S.A.";"Abs 1";"Scope 1+2 (location-based)";"100.0";0;"2015.0";"2016.0";31807;2020;100;"Underway";31807
"2018";661;"Ameren Corporation";"Abs 1";"Scope 1";"1.0";1;"2016.0";"2017.0";26795627;2017;63;"Underway";26626814.5499
"2018";661;"Ameren Corporation";"Abs 2";"Scope 1";"1.0";1;"2016.0";"2017.0";26795627;2017;9;"Underway";26771510.9357
"2018";661;"Ameren Corporation";"Abs 3";"Scope 1";"1.0";1;"2016.0";"2017.0";26795627;2017;63;"Underway";26626814.5499
"2018";689;"American Electric Power Company, Inc.";"Abs 1";"Scope 1";"99.0";10;"2010.0";"2010.0";134000000;2020;100;"Replaced";120600000
"2018";689;"American Electric Power Company, Inc.";"Abs 2";"Scope 1";"99.0";80;"2000.0";"2018.0";167000000;2050;71;"Underway";72144000
"2018";692;"American Express";"Abs 1";"Scope 1 +2 (market-based)";"100.0";31;"2011.0";"2017.0";157365;2021;100;"Underway";108581.85
"2018";692;"American Express";"Abs 2";"Scope 1 +2 (market-based)";"100.0";85;"2011.0";"2017.0";157365;2040;58;"Underway";79784.055
"2018";692;"American Express";"Abs 3";"Scope 3: Business travel";"100.0";100;"2011.0";"2017.0";30984;2020;100;"Underway";0
"2018";699;"American International Group, Inc. (AIG)";"Abs 1";"Scope 1+2 (location-based)";"23.0";20;"2010.0";"2010.0";5190;2020;95;"Underway";4203.9
"2018";38280;"American Textile Company, Inc.";"Abs 1";"Scope 1+2 (location-based)";"100.0";0;"2015.0";"2016.0";0;2018;100;"Retired";0
"2018";32490;"American Water Works";"Abs 1";"Scope 1+2 (location-based)";"100.0";16;"2007.0";"2007.0";853676;2017;100;"Retired";717087.84
"2018";32490;"American Water Works";"Abs 2";"Scope 1+2 (location-based)";"100.0";40;"2007.0";"2007.0";853676;2025;77;"Underway";590743.792
"2018";716;"Amgen, Inc.";"Abs 1";"Scope 1+2 (location-based)";"94.0";10;"2012.0";"2013.0";385000;2020;90;"Underway";350350
"2018";716;"Amgen, Inc.";"Abs 2";"Scope 2 (location-based)";"90.0";20;"2012.0";"2013.0";15000;2020;100;"Underway";12000
"2018";724;"AMP";"Abs 1";"Scope 1+2 (location-based)";"100.0";40;"2013.0";"2017.0";32422;2021;83;"Underway";21657.896
"2018";1193;"ams AG";"Abs 1";"Scope 1";"6.7";6.4;"2016.0";NA;1186;2017;95.6;NA;1113.435776
"2018";1193;"ams AG";"Abs 2";"Scope 1";"0.77";0.96;"2016.0";NA;179;2017;100;NA;177.2816
"2018";44672;"Amtrak";"Abs 1";"Scope 1+2 (location-based)";"100.0";15.5;"2010.0";"2016.0";1171270;2017;100;"Expired";989723.15
"2018";41714;"An Post";"Abs 1";"Scope 1";"25.0";23.5;"2009.0";"2009.0";4563;2020;23.5;"Underway";4311.008325
"2018";41714;"An Post";"Abs 2";"Scope 2 (location-based)";"100.0";59;"2009.0";"2009.0";12306;2020;59;"Underway";8022.2814
"2018";550;"ANA Holdings Inc.";"Abs 1";"Scope 1";"37.0";0;"2005.0";"2012.0";4400000;2020;55.5;"Underway";4400000
"2018";772;"Anglo American";"Abs 2";"Scope 1+2 (location-based)";"100.0";22;"2015.0";"2016.0";17875766;2020;95;"Underway";14139730.906
"2018";777;"Anglo American Platinum";"Abs 1";"Scope 1+2 (location-based)";"100.0";30;"2016.0";"2017.0";17875766;2030;56;"New";14872637.312
"2018";777;"Anglo American Platinum";"Abs 2";"Scope 1+2 (location-based)";"100.0";10;"2014.0";"2015.0";1228656;2020;100;"Underway";1105790.4
"2018";37363;"Anritsu Corporation";"Abs 1";"Scope 1+2 (location-based)";"100.0";3;"2014.0";"2015.0";16004;2017;100;"Expired";15523.88
"2018";37363;"Anritsu Corporation";"Abs 2";"Scope 1+2 (location-based)";"35.799999999999997";6.79;"2013.0";"2014.0";5948;2020;100;"Underway";5544.1308
"2018";825;"Aon plc";"Abs 1";"Scope 1+2 (location-based)";"100.0";15;"2015.0";"2015.0";100;2020;24.31;"Underway";96.3535
"2018";830;"Aoyama Trading Co., Ltd.";"Abs 1";"Scope 2 (market-based)";"100.0";27;"2009.0";"2009.0";67987;2025;85.1;"Underway";52365.62701
"2018";53635;"APG SGA SA";"Abs 1";"Scope 1";"35.0";4;"2016.0";"2016.0";534;2018;100;"Underway";512.64
"2018";53635;"APG SGA SA";"Abs 2";"Scope 1";"100.0";15;"2015.0";"2015.0";1608;2020;82;"Underway";1410.216
"2018";865;"Apple Inc.";"Abs 1";"Scope 1 +2 (market-based)";"100.0";52;"2012.0";"2012.0";153500;2020;100;"Underway";73680
"2018";865;"Apple Inc.";"Abs 2";"Scope 1 +2 (market-based)";"100.0";52;"2012.0";"2012.0";153500;2036;100;"Underway";73680
"2018";865;"Apple Inc.";"Abs 3";"Scope 2 (market-based)";"100.0";100;"2011.0";"2011.0";154300;2018;74;"Underway";40118
"2018";846;"AptarGroup";"Abs 2";"Scope 2 (market-based)";"100.0";32.5;"2016.0";"2017.0";159208;2020;25;"Underway";146272.35
"2018";846;"AptarGroup";"Abs 3";"Scope 1 +2 (market-based)";"100.0";30;"2016.0";"2017.0";175259;2020;22;"Underway";163691.906
"2018";894;"Arcadis";"Abs 1";"Scope 1 +2 (market-based)";"21.0";30;"2010.0";"2012.0";8348;2020;100;"Underway";5843.6
"2018";895;"Arcadyan Technology Corporation";"Abs 1";"Scope 2 (location-based)";"100.0";20;"2012.0";"2012.0";14367.63;2017;15.9;"Underway";13910.739366
"2018";21115;"ARÇELİK A.Ş.";"Abs 1";"Scope 1+2 (location-based)";"100.0";60;"2010.0";"2014.0";157725;2020;92.75;"New";69951.0375
"2018";21115;"ARÇELİK A.Ş.";"Abs 2";"Scope 1+2 (location-based)";"100.0";100;"2010.0";"2015.0";157725;2025;55.65;"New";69951.0375
"2018";21115;"ARÇELİK A.Ş.";"Abs 3";"Scope 1+2 (location-based)";"100.0";100;"2010.0";"2014.0";157725;2040;55.65;"New";69951.0375
"2018";52914;"Arkhangelsk Pulp and Paper Mill";"Abs 1";"Scope 1+2 (location-based)";"100.0";29.1;"1990.0";"2013.0";3103421;2020;100;"Underway";2200325.489
"2018";52914;"Arkhangelsk Pulp and Paper Mill";"Abs 2";"Scope 1+2 (location-based)";"100.0";54.9;"1990.0";"2017.0";3103421;2030;76.3;"Underway";1803438.287573
"2018";52914;"Arkhangelsk Pulp and Paper Mill";"Abs 3";"Scope 3 (upstream)";"98.0";20;"2015.0";"2017.0";462771;2030;44.5;"Underway";421584.381
"2018";53011;"ARRIS International PLC";"Abs 1";"Scope 1+2 (location-based)";"100.0";10;"2013.0";"2013.0";47983;2018;11.3;"Underway";47440.7921
"2018";52169;"ARTESYN EMBEDDED TECHNOLOGIES";"Abs 1";"Scope 2 (location-based)";"100.0";2.5;"2014.0";"2014.0";100;2020;100;"Underway";97.5
"2018";54167;"ARVIND Ltd";"Abs 1";"Scope 1+2 (location-based)";"100.0";20;"2014.0";"2014.0";853979;2019;80;"Underway";717342.36
"2018";992;"Asahi Group Holdings, Ltd.";"Abs 1";"Scope 1 +2 (market-based)";"85.0";30;"2015.0";"2017.0";525225;2030;16.8;"Underway";498753.66
"2018";992;"Asahi Group Holdings, Ltd.";"Abs 2";"Scope 1 +2 (market-based)";"85.0";100;"2015.0";"2017.0";525225;2050;5;"Underway";498963.75
"2018";992;"Asahi Group Holdings, Ltd.";"Abs 3";"Scope 1+2 (market-based) +3 (downstream)";"91.0";30;"2008.0";"2010.0";845000;2020;13;"Underway";812045
"2018";994;"Asahi Kasei Corporation";"Abs 1";"Scope 1 +2 (market-based)";"100.0";35;"2005.0";"2014.0";5923229;2020;81.66;"Underway";4230310.91951
"2018";56044;"Asahi Printing Co., Ltd.";"Abs 1";"Scope 1+2 (location-based)";"1.0";0;"2008.0";"2008.0";17971;2017;1;"Underway";17971
"2018";336;"ASE Technology Holding Co., Ltd.";"Abs 1";"Scope 1 +2 (market-based)";"100.0";19;"2016.0";"2017.0";1384808;2025;41.2;"Underway";1276405.22976
"2018";336;"ASE Technology Holding Co., Ltd.";"Abs 2";"Scope 1 +2 (market-based)";"100.0";40;"2016.0";"2017.0";1384808;2035;19.6;"Underway";1276239.0528
"2018";22694;"Asia Cement Corp";"Abs 1";"Scope 2 (location-based)";"100.0";5;"2014.0";"2015.0";209947;2020;100;"Underway";199449.65
"2018";1037;"Asia Vital Components Co., LTD";"Abs 1";"Scope 2 (location-based)";"96.99";5;"2013.0";"2017.0";41614.14;2020;18.94;"Underway";41220.0540942
"2018";1046;"Asics Corporation";"Abs 1";"Scope 1 +2 (market-based)";"100.0";5;"2015.0";"2015.0";30381;2020;100;"Underway";28861.95
"2018";1046;"Asics Corporation";"Abs 2";"Scope 1 +2 (market-based)";"100.0";33;"2015.0";"2017.0";30381;2030;53.4;"Underway";25027.26018
"2018";64623;"Askul Corporation";"Abs 1";"Scope 1";"100.0";100;"2015.0";"2016.0";5134;2030;3.9;"Underway";4933.774
"2018";64623;"Askul Corporation";"Abs 2";"Scope 2 (location-based)";"100.0";100;"2015.0";"2016.0";15143;2030;1;"Underway";14991.57
"2018";1048;"ASML Holding";"Abs 1";"Scope 1 +2 (market-based)";"100.0";10;"2015.0";"2016.0";126712;2020;44;"Underway";121136.672
"2018";4830;"ASR Group Int.";"Abs 1";"Scope 1+2 (location-based)";"90.0";26;"2012.0";"2012.0";NA;2030;50;"Underway";NA
"2018";1087;"Assurant, Inc.";"Abs 1";"Scope 2 (location-based)";"100.0";20;"2009.0";"2009.0";35252;2020;100;"Underway";28201.6
"2018";1051;"Astellas Pharma Inc.";"Abs 1";"Scope 1 +2 (market-based)";"100.0";30;"2015.0";"2018.0";222724;2030;7.1;"New";217979.9788
"2018";1104;"AstraZeneca";"Abs 1";"Scope 1";"100.0";20;"2015.0";"2016.0";318633;2025;42;"Underway";291867.828
"2018";1104;"AstraZeneca";"Abs 2";"Scope 2 (market-based)";"100.0";95;"2015.0";"2016.0";348664;2025;50;"Underway";183048.6
"2018";1104;"AstraZeneca";"Abs 3";"Scope 3: Upstream transportation & distribution";"66.0";20;"2015.0";"2016.0";139150;2025;81;"Underway";116607.7
"2018";1104;"AstraZeneca";"Abs 4";"Scope 3: Business travel";"77.0";20;"2015.0";"2016.0";150459;2025;54;"Underway";134209.428
"2018";1104;"AstraZeneca";"Abs 6";"Scope 3: Purchased goods & services";"2.0";20;"2015.0";"2016.0";109165;2025;100;"Underway";87332
"2018";1104;"AstraZeneca";"Abs 8";"Scope 1+2 (market-based) +3 (upstream & downstream)";"25.0";0;"2015.0";"2016.0";1777190;2025;20;"Underway";1777190
"2018";1106;"ASUSTeK Computer Inc";"Abs 1";"Scope 1+2 (location-based)";"100.0";50;"2008.0";"2008.0";15594;2025;40;"Underway";12475.2
"2018";1113;"AT&T Inc.";"Abs 1";"Scope 1";"100.0";20;"2008.0";"2011.0";1354054;2020;100;"Replaced";1083243.2
"2018";1113;"AT&T Inc.";"Abs 2";"Scope 1";"67.7";30;"2008.0";"2009.0";865777;2020;66;"Replaced";694353.154
"2018";1115;"Atea ASA";"Abs 1";"Scope 1+2 (location-based)";"100.0";43;"2015.0";"2015.0";7613;2030;24;"Underway";6827.3384
"2018";1115;"Atea ASA";"Abs 2";"Scope 1+2 (location-based)";"100.0";57;"2015.0";"2015.0";7613;2040;18;"Underway";6831.9062
"2018";1134;"Atlantia";"Abs 1";"Scope 1+2 (location-based)";"35.0";6;"2015.0";"2015.0";77280;2020;60;"Underway";74497.92
"2018";1149;"Atos SE";"Abs 1";"Other, please specify: S 1+2 (L+M), + S3 Upstream Cats 3&6";"100.0";3.09;"2012.0";"2012.0";384913;2021;100;"Underway";373019.1883
"2018";1149;"Atos SE";"Abs 2";"Other, please specify: S 1+2 (L+M), + S3 Upstream Cats 3&6";"100.0";40.62;"2012.0";"2012.0";384913;2050;66;"Underway";281720.904004
"2018";1158;"AU Optronics";"Abs 1";"Scope 1+2 (location-based) +3 (upstream & downstream)";"90.0";45.6;"2015.0";"2016.0";4050000;2020;45.6;"Underway";3207859.2
"2018";1177;"Aurubis AG";"Abs 1";"Scope 1 +2 (market-based)";"100.0";8.6;"2013.0";"2013.0";1162321;2018;67;"Underway";1095348.06398
"2018";1187;"Australia and New Zealand Banking Group";"Abs 1";"Scope 1+2 (location-based)";"100.0";3;"2013.0";"2013.0";207711;2017;100;"Retired";201479.67
"2018";1187;"Australia and New Zealand Banking Group";"Abs 2";"Scope 1+2 (location-based)";"100.0";24;"2015.0";"2017.0";209532;2025;57;"Underway";180868.0224
"2018";1187;"Australia and New Zealand Banking Group";"Abs 3";"Scope 1+2 (location-based)";"100.0";35;"2015.0";"2017.0";209531;2030;39;"Underway";180930.0185
"2018";57626;"Australia Post";"Abs 1";"Scope 1+2 (location-based)";"100.0";25;"2000.0";"2010.0";348436;2020;80;"Underway";278748.8
"2018";1198;"Autodesk, Inc.";"Abs 1";"Scope 1+2 (market-based) +3 (upstream & downstream)";"100.0";38;"2008.0";"2008.0";301000;2018;100;"Expired";186620
"2018";1198;"Autodesk, Inc.";"Abs 2";"Scope 1+2 (market-based) +3 (upstream & downstream)";"100.0";41;"2008.0";"2008.0";301000;2019;92;"Underway";187462.8
"2018";1198;"Autodesk, Inc.";"Abs 3";"Scope 1+2 (market-based) +3 (upstream & downstream)";"100.0";43;"2008.0";"2008.0";277000;2020;88;"Underway";172183.2
"2018";1198;"Autodesk, Inc.";"Abs 4";"Scope 1+2 (market-based) +3 (upstream & downstream)";"100.0";85;"2008.0";"2008.0";277000;2050;45;"Underway";171047.5
"2018";1203;"Automatic Data Processing, Inc.";"Abs 1";"Scope 1+2 (location-based)";"100.0";10;"2014.0";"2014.0";124820;2020;15;"Underway";122947.7
"2018";1213;"Avaya";"Abs 1";"Scope 1+2 (location-based)";"100.0";15;"2014.0";"2014.0";105570;2020;100;"Underway";89734.5
"2018";1213;"Avaya";"Abs 2";"Other, please specify: Scope 3 (All Categories)";"100.0";0.01;"2014.0";"2014.0";839264;2020;100;"Underway";839180.0736
"2018";1227;"Avery Dennison Corporation";"Abs 1";"Scope 1 +2 (market-based)";"100.0";26;"2015.0";"2015.0";682341;2025;77;"Underway";545736.3318
"2018";1268;"Aviva plc";"Abs 1";"Scope 1+2 (location-based) +3 (upstream)";"100.0";70;"2010.0";"2010.0";146248;2030;53;"Underway";91989.992
"2018";1268;"Aviva plc";"Abs 2";"Scope 1+2 (location-based) +3 (upstream)";"100.0";5;"2016.0";"2017.0";79410;2017;14;"Expired";78854.13
"2018";1271;"Avon Products, Inc.";"Abs 1";"Scope 1+2 (location-based)";"100.0";13;"2005.0";"2006.0";75895;2020;13;"Underway";74612.3745
"2018";20871;"Azbil Corporation";"Abs 1";"Scope 1+2 (location-based)";"100.0";43;"2006.0";"2017.0";34423;2019;97;"Underway";20065.1667
"2018";1356;"Baker Hughes Company";"Abs 1";"Scope 1+2 (location-based)";"100.0";17;"2012.0";"2016.0";775000;2020;47;"Underway";713077.5
"2018";1356;"Baker Hughes Company";"Abs 2";"Scope 1+2 (location-based)";"100.0";10;"2016.0";"2017.0";792251;2017;11;"Underway";783536.239
"2018";1356;"Baker Hughes Company";"Abs 3";"Scope 1+2 (location-based)";"100.0";53;"2012.0";"2016.0";775000;2050;47;"Underway";581947.5
"2018";1397;"Banco Comercial Português SA";"Abs 1";"Other, please specify: Scope 1 + Scope 2 + Scope 3";"40.0";5;"2016.0";"2017.0";22883;2017;100;"Expired";21738.85
"2018";37464;"Banco Davivienda SA";"Abs 1";"Scope 1";"100.0";49;"2014.0";"2014.0";5463;2020;96;"Underway";2893.2048
"2018";37464;"Banco Davivienda SA";"Abs 2";"Scope 2 (location-based)";"100.0";26;"2014.0";"2014.0";9041;2020;86;"Underway";7019.4324
"2018";37464;"Banco Davivienda SA";"Abs 3";"Scope 3: Business travel";"100.0";10;"2016.0";"2016.0";1355;2020;1;"Underway";1353.645
"2018";1441;"Banco Santander";"Abs 1";"Scope 1+2 (location-based) +3 (downstream)";"100.0";9;"2015.0";"2016.0";422849;2018;100;"Underway";384792.59
"2018";31393;"Banco Santander Brasil SA";"Abs 1";"Scope 1+2 (location-based) +3 (upstream & downstream)";"100.0";9;"2015.0";"2016.0";103073;2018;100;"Underway";93796.43
"2018";37110;"BanColombia SA";"Abs 2";"Scope 1+2 (location-based)";"100.0";10;"2010.0";"2012.0";28209;2020;100;"Replaced";25388.1
"2018";37110;"BanColombia SA";"Abs 3";"Scope 3: Purchased goods & services";"100.0";35;"2010.0";"2012.0";215;2020;83;"Underway";152.5425
"2018";37110;"BanColombia SA";"Abs 4";"Scope 3: Purchased goods & services";"14.0";2;"2014.0";"2014.0";39;2020;100;"Underway";38.22
"2018";37110;"BanColombia SA";"Abs 7";"Scope 3: Business travel";"100.0";16;"2010.0";"2012.0";215;2020;83;"Underway";186.448
"2018";12669;"BANDAI NAMCO Holdings Inc.";"Abs 1";"Scope 2 (market-based)";"100.0";3;"2015.0";"2015.0";64254;2017;100;"Expired";62326.38
"2018";21991;"Bank Leumi Le Israel";"Abs 1";"Scope 2 (location-based)";"20.0";20;"2016.0";"2016.0";9459;2017;100;"Underway";7567.2
"2018";21991;"Bank Leumi Le Israel";"Abs 2";"Scope 2 (market-based)";"80.0";36.7;"2016.0";"2016.0";20510;2017;99;"Underway";13058.1017
"2018";1452;"Bank of America";"Abs 1";"Scope 1 +2 (market-based)";"100.0";100;"2010.0";"2015.0";1804885;2020;86;"Underway";252683.9
"2018";1452;"Bank of America";"Abs 2";"Scope 1 +2 (market-based)";"100.0";100;"2010.0";"2015.0";1804885;2040;86;"Underway";252683.9
"2018";1452;"Bank of America";"Abs 3";"Scope 1+2 (location-based)";"100.0";50;"2010.0";"2015.0";1810431;2020;99;"Underway";914267.655
"2018";1411;"Bank of Ireland";"Abs 1";"Scope 1+2 (location-based)";"100.0";6;"2016.0";"2017.0";100;2030;26;"Underway";98.44
