"Country/Region";"count_companies"
"Other, please specify: asia Pacific";1
"Other, please specify: Asia, Australasia, Middle East and Afric";1
"Other, please specify: Asia/Pacific";1
"Other, please specify: Asia/Pacific (India, Thailand, Republic of Korea, Vietnam";1
"Other, please specify: Business Unit E.ON Connecting Energies";1
"Other, please specify: Carribean";1
"Other, please specify: Central African Republic";1
"Other, please specify: Company vehicles";1
"Other, please specify: Corporate Aircraft";1
"Other, please specify: Corporate vehicles fleet";1
"Other, please specify: DACH & EE";1
"Other, please specify: DACH & EE (Germany and Eastern Europe)";1
"Other, please specify: Development Units, more than one country";1
"Other, please specify: Distribution but no production in El Salvador, Estonia, Paraguay and Sweden";1
"Other, please specify: East Timor";1
"Other, please specify: EMEA";2
"Other, please specify: EMEA (Rumania, Slovakia, Czechia, Hungary, Italy, Portugal, Spain, UK, Austria, South Africa, Russia, France)";1
"Other, please specify: Emea, excluding Germany";1
"Other, please specify: EMEAA";1
"Other, please specify: England";1
"Other, please specify: Estimation for small office sites globally, which are not reporting environmental data to Group. Using average emissions/FTE of our other office sites globally.";1
"Other, please specify: Estimation for small office sites globally, which are not reporting environmental to Group. Using average emissions/FTE of our other office sites globally.";1
"Other, please specify: Europe, Middle East, Inda, Africa";1
"Other, please specify: External Heat";1
"Other, please specify: Global";1
"Other, please specify: Global operations";1
"Other, please specify: Global vehicle emissions";1
"Other, please specify: Greater China";3
"Other, please specify: Guinea Conakry";1
"Other, please specify: Guyana";1
"Other, please specify: Hong Kong";2
"Other, please specify: Includes affiliate offices";1
"Other, please specify: International Air Space";1
"Other, please specify: International Airspace";2
"Other, please specify: International water";1
"Other, please specify: International Water";1
"Other, please specify: International waters";2
"Other, please specify: International Waters";3
"Other, please specify: Ivoiry Coast";1
"Other, please specify: Katanga";1
"Other, please specify: Kinshasa";1
"Other, please specify: Martinique";1
"Other, please specify: Mexico, Central America, Caribbean, El Salvador, Panama, USA Puerto Rico and Dominican Republic";1
"Other, please specify: Middle East";1
"Other, please specify: Multi-Country";1
"Other, please specify: NAM / LAM (North and Latin America)";1
"Other, please specify: NAM/LAM";1
"Other, please specify: NCE";1
"Other, please specify: NCE (North Central Europe)";1
"Other, please specify: Netherlands Antilles";1
"Other, please specify: New Caledonia";1
"Other, please specify: Non-stationary sources";1
"Other, please specify: Nordic, Baltic, Rest of the World";1
"Other, please specify: Northern Ireland";1
"Other, please specify: Office and labs";1
"Other, please specify: Offices";1
"Other, please specify: Other";1
"Other, please specify: other countries";1
"Other, please specify: Other countries than the above countries";1
"Other, please specify: Other countries with less than 50 tCO2e emissions in Scope 2.  See the comments section for a list of the countries included.";1
"Other, please specify: Others";1
"Other, please specify: Others (Europe, America, Africa)";1
"Other, please specify: Planta 4001 Aluminio Jalisco México";1
"Other, please specify: Planta 8003 Aluminio Yucatan México";1
"Other, please specify: Polynesia";1
"Other, please specify: Remaining Offices";1
"Other, please specify: Remaining offices around the globe";1
"Other, please specify: Republic of Congo";1
"Other, please specify: Rest of Europe";1
"Other, please specify: Rest of Europe (FR, BE, IT, PL, RO, UK)";1
"Other, please specify: Rest of Hydro's ownership equity";1
"Other, please specify: rest of the world";2
"Other, please specify: Rest of the world";16
"Other, please specify: Rest of the World";6
"Other, please specify: Rest of the world (without Germany)";1
"Other, please specify: rest of world";1
"Other, please specify: Rest of world";15
"Other, please specify: Rest of World";24
"Other, please specify: Rest Of World";2
"Other, please specify: Rest of World - GM International Operations";1
"Other, please specify: Rest of World - Refrigerants";1
"Other, please specify: Rest of World, excluding Americas";1
"Other, please specify: Rest of world.r";1
"Other, please specify: Reunion Island";1
"Other, please specify: ROW - Rest of World";1
"Other, please specify: Russia, Central federal region";1
"Other, please specify: Russia, Far-East federal region";1
"Other, please specify: Russia, Near-Volga federal region";1
"Other, please specify: Russia, North-Vest federal region";1
"Other, please specify: Russia, Siberian federal region";1
"Other, please specify: Russia, South federal region";1
"Other, please specify: Russia, Urals federal region";1
"Other, please specify: Sales Fleet - International (excludes U.S.)";1
"Other, please specify: Sales Fleet - U.S.";1
"Other, please specify: Scandinavia";1
"Other, please specify: scope 2 and 1 figures are combined.  pls refer to item C7.2";1
"Other, please specify: Scotland";1
"Other, please specify: Scotland (this is the same figure as below -  breakdown by region is the same as breakdown by business division)";1
"Other, please specify: South America (Chile, Argentina, Colombia and Brazil)";1
"Other, please specify: South Korea";3
"Other, please specify: SOUTH KOREA";1
"Other, please specify: Southern  (this is the same figure as below -  breakdown by region is the same as breakdown by business division)";1
"Other, please specify: Southern Africa";1
"Other, please specify: Southern England";1
"Other, please specify: Sum of various small sites in different countries";1
"Other, please specify: Switzerland";1
"Other, please specify: Taiwan";2
"Other, please specify: Tanzania";1
"Other, please specify: The figure consolidates emissions from all non-manufacturing countries (only with activities in R&D, Administration & Commercial)";1
"Other, please specify: The rest of world";1
"Other, please specify: There is no facility outside of China";1
"Other, please specify: This is for small countries that did not report, to uplift to 100% disclosure";1
"Other, please specify: U.S. Data Center";1
"Other, please specify: U.S. East";1
"Other, please specify: U.S. Integrated Clinical";1
"Other, please specify: U.S. Pharmacy";1
"Other, please specify: U.S. Twin Cities";1
"Other, please specify: U.S. West";1
"Other, please specify: Union of the Comoros";1
"Other, please specify: United Arab Emirates";1
"Other, please specify: Unreported countries";1
"Other, please specify: Values refers to branch";1
"Other, please specify: Various small factories in a number of different countries";1
"Other, please specify: Vodafone Group Services";1
"Other, please specify: WE & MEA";1
"Other, please specify: WE & MEA (Western Europe, Middle East, and Africa)";1
"Other: ??";1
"Other: ???";1
"Other: ????";2
"Other: ?????";1
"Other: ??????";1
"Other: America";1
"Other: Americas";1
"Other: Asia";1
"Other: Asia-Pacific";1
"Other: Asia (excluding Japan, China, and Taiwan)";1
"Other: Asia Pacific";1
"Other: Asia(excluding Japan, China, and Taiwan)";1
"Other: Asia, Australia, Middle and Near East, Africa, and Central and South America (Scope 1+2)";1
"Other: Asia, Australia, Middle and Near East, Africa, Central and South America";1
"Other: Asia/Oceania";1
"Other: Australia";2
"Other: Brazil";1
"Other: Britain";1
"Other: Canada";1
"Other: Caribbean";1
"Other: China";5
"Other: China (Scope 1+2)";1
"Other: China (Scope1+2)";1
"Other: China and Taiwan";1
"Other: Curacao";1
"Other: Czech Republic";1
"Other: England";1
"Other: Europe";3
"Other: Europe (Scope 1+2)";1
"Other: Europe (Scope1+2)";1
"Other: Europe, Middle East and Africa";1
"Other: Europe/Middle East/Africa";1
"Other: Europe/South Pacific";1
"Other: Fleet";1
"Other: Germany";3
"Other: Greater Asia/Africa";1
"Other: Ground activity";1
"Other: Hill's Pet Nutrition";1
"Other: Hong Kong";1
"Other: Hungary";1
"Other: India";1
"Other: Indonanesia";1
"Other: Indonesia";1
"Other: Infosys has a global footprint with 65 offices and 74 development centers in US, India, China, Australia, Japan, Middle East, UK, Germany, France, Switzerland, Netherlands, Poland, Canada and many other countries. We currently do not monitor our scope 1 emissions from offices outside India.";1
"Other: Infosys has a global footprint with 65 offices and 74 development centers in US, India, China, Australia, Japan, Middle East, UK, Germany, France, Switzerland, Netherlands, Poland, Canada and many other countries. We currently do not monitor our scope 2 emissions from offices outside India as they constitute only a minor part of carbon footprint.";1
"Other: Intercontinental flights";1
"Other: Italy";1
"Other: Japan";3
"Other: Japan (Scope 1+2)";1
"Other: Japan (Scope1+2)";1
"Other: Korea";1
"Other: Latin America";2
"Other: Malaysia";1
"Other: Mexico";1
"Other: Netherlands";1
"Other: Non-US Facilities";1
"Other: North America";3
"Other: North America (Scope 1+2)";1
"Other: North America (Scope1+2)";1
"Other: Oceania";1
"Other: Offices";1
"Other: Philippines";1
"Other: rest of world";1
"Other: Rest of world";1
"Other: rest of world (90 countries)";1
"Other: Romania";1
"Other: Russia";1
"Other: Singapore";1
"Other: Small offices not measured";1
"Other: South America";2
"Other: South Korea";1
"Other: Spain";1
"Other: Taiwan";2
"Other: Thailand";2
"Other: Thailand, China, Taiwan, USA";1
"Other: UK";1
"Other: United Kingdom and Ireland";1
"Other: USA";2
"Other: We have not yet set processes and procedures to measure the overseas locations. We are working on compiling the data to include these locations for future reporting of emissions";1
"Other: We have not yet set processes and procedures to measure the overseas locations. We are working on compiling the data to include these locations for future reporting of emissions.";1
"Other: world";1
"Pakistan";28
"Panama";37
"Papua New Guinea";6
"Paraguay";15
"Peru";62
"Philippines";131
"Poland";199
"Portugal";118
"Puerto Rico";34
"Qatar";24
"Republic of Korea";154
"Republic of Moldova";2
"Rest of world";96
"Réunion";3
"Romania";99
"Russia";56
"Russian Federation";98
"Rwanda";1
"Saint Kitts and Nevis";2
"Saint Lucia";1
"Samoa";2
"Saudi Arabia";61
"Senegal";10
"Serbia";34
"Seychelles";2
"Sierra Leone";3
"Singapore";224
"Sint Maarten (Dutch part)";1
"Slovakia";74
"Slovenia";27
"Solomon Islands";1
"Somalia";1
"South Africa";146
"South America";18
"South Korea";75
"Spain";258
"Sri Lanka";24
"Sudan";2
"Swaziland";3
"Sweden";163
"Switzerland";156
"Syrian Arab Republic";1
"Taiwan";76
"Taiwan, Greater China";155
"Tajikistan";2
"Tanzania";6
"Thailand";217
"The former Yugoslav Republic of Macedonia";2
"Timor-Leste";1
"Timor   Leste";1
"Togo";4
"Tonga";1
"Trinidad and Tobago";7
"Tunisia";17
"Turkey";144
"Turkmenistan";3
"Turks and Caicos Islands";1
"Uganda";9
"Ukraine";40
"United Arab Emirates";105
"United Kingdom";181
"United Kingdom of Great Britain and Northern Ireland";303
"United Republic of Tanzania";14
"United States of America";688
"United States Virgin Islands";5
"Uruguay";36
"US, Latin America and Caribbean (USLAC)";6
"Uzbekistan";6
"Vanuatu";2
"Venezuela";22
"Venezuela (Bolivarian Republic of)";19
"Viet Nam";101
"Vietnam";55
"Virgin Islands";1
"Western Europe";5
"Yemen";3
"Zambia";17
"Zimbabwe";7
NA;35
