"Country/Region";"count_companies"
"Hungary";98
"Iceland";8
"India";283
"Indonesia";147
"International Air Space";3
"International Waters";3
"Iran (Islamic Republic of)";7
"Iran, Islamic Republic of";2
"Iraq";8
"Ireland";144
"Isle of Man";1
"Israel";52
"Italy";243
"Jamaica";3
"Japan";364
"Jersey";1
"Jordan";13
"Kazakhstan";24
"Kenya";24
"Kiribati";1
"Kuwait";12
"Kyrgyzstan";4
"Lao People's Democratic Republic";3
"Laos, People's Democratic Republic of";2
"Laos, People s Democratic Republic of";4
"Latin America (LATAM)";27
"Latin America and Caribbean (LAC)";4
"Latin or South America (LSA)";5
"Latvia";25
"Lebanon";16
"Lesotho";4
"Liberia";3
"Libya";5
"Lithuania";33
"Luxembourg";49
"Macau";3
"Madagascar";6
"Malawi";5
"Malaysia";176
"Mali";5
"Malta";6
"Mauritania";1
"Mauritius";8
"Mayotte";2
"Mexico";237
"Micronesia (Federated States of)";1
"Middle and Near East";1
"Middle East";9
"Middle East and North Africa (MENA)";2
"Moldova";2
"Monaco";7
"Mongolia";5
"Montenegro";5
"Morocco";45
"Mozambique";23
"Myanmar";21
"Namibia";5
"Nepal";5
"Netherlands";215
"New Caledonia";2
"New Zealand";80
"Nicaragua";12
"Niger";4
"Nigeria";23
"Nordic countries";5
"North America";71
"North Macedonia";4
"Northern Mariana Islands";1
"Norway";103
"Oceania";5
"Oman";17
"Other, please specify: ??";3
"Other, please specify: ???(?????????????????????)";1
"Other, please specify: ????";1
"Other, please specify: ???????????????????????????";1
"Other, please specify: ?????????????????????????????????????????????UAE?????";1
"Other, please specify: ????·??·?????·????????";1
"Other, please specify: ??·??(????·????)";1
"Other, please specify: 1% of operations estimated";1
"Other, please specify: 10% of IAG kWh is from overseas offices in dozens of countries. Aggregated emissions are disclosed here.";1
"Other, please specify: All countries not including the US";1
"Other, please specify: Americas (Canada, USA, MEX, BRAS)";1
"Other, please specify: Americas (including Canada, Mexico, USA)";1
"Other, please specify: Americas (USA, CAN, MEX, BRA)";1
"Other, please specify: Americas except for the US";1
"Other, please specify: APAC";1
"Other, please specify: APAC (Asia Pacific)";1
"Other, please specify: APAC: Asia-Pacific, Australia";1
"Other, please specify: Asia";2
"Other, please specify: Asia (incl. Japan)";1
"Other, please specify: Asia incl. Japan";1
"Other, please specify: asia Pacific";1
"Other, please specify: Asia, Australasia, Middle East and Afric";1
"Other, please specify: Asia/Pacific";1
"Other, please specify: Asia/Pacific (India, Thailand, Republic of Korea, Vietnam";1
"Other, please specify: Business Unit E.ON Connecting Energies";1
"Other, please specify: Carribean";1
"Other, please specify: Central African Republic";1
"Other, please specify: Corporate Aircraft";1
"Other, please specify: Corporate vehicles fleet";1
"Other, please specify: DACH & EE";1
"Other, please specify: DACH & EE (Germany and Eastern Europe)";1
"Other, please specify: Development Units, more than one country";1
"Other, please specify: Distribution but no production in El Salvador, Estonia, Paraguay and Sweden";1
"Other, please specify: East Timor";1
"Other, please specify: EMEA";2
"Other, please specify: EMEA (Rumania, Slovakia, Czechia, Hungary, Italy, Portugal, Spain, UK, Austria, South Africa, Russia, France)";1
"Other, please specify: Emea, excluding Germany";1
"Other, please specify: EMEAA";1
"Other, please specify: England";1
"Other, please specify: Estimation for small office sites globally, which are not reporting environmental data to Group. Using average emissions/FTE of our other office sites globally.";1
"Other, please specify: Estimation for small office sites globally, which are not reporting environmental to Group. Using average emissions/FTE of our other office sites globally.";1
"Other, please specify: Europe, Middle East, Inda, Africa";1
"Other, please specify: External Heat";1
"Other, please specify: Global";1
"Other, please specify: Global vehicle emissions";1
"Other, please specify: Greater China";3
"Other, please specify: Guinea Conakry";1
"Other, please specify: Guyana";1
"Other, please specify: Hong Kong";2
"Other, please specify: Includes affiliate offices";1
"Other, please specify: International Air Space";1
"Other, please specify: International Airspace";2
"Other, please specify: International water";1
"Other, please specify: International Water";1
"Other, please specify: International waters";2
"Other, please specify: International Waters";3
"Other, please specify: Ivoiry Coast";1
"Other, please specify: Katanga";1
"Other, please specify: Kinshasa";1
"Other, please specify: Martinique";1
"Other, please specify: Middle East";1
"Other, please specify: Multi-Country";1
"Other, please specify: NAM / LAM (North and Latin America)";1
"Other, please specify: NAM/LAM";1
"Other, please specify: NCE";1
"Other, please specify: NCE (North Central Europe)";1
"Other, please specify: New Caledonia";1
"Other, please specify: Non-stationary sources";1
"Other, please specify: Nordic, Baltic, Rest of the World";1
"Other, please specify: Northern Ireland";1
"Other, please specify: Office and labs";1
"Other, please specify: Offices";1
"Other, please specify: Other";1
"Other, please specify: other countries";1
"Other, please specify: Other countries than the above countries";1
"Other, please specify: Other countries with less than 50 tCO2e emissions in Scope 2.  See the comments section for a list of the countries included.";1
"Other, please specify: Others (Europe, America, Africa)";1
"Other, please specify: Planta 4001 Aluminio Jalisco México";1
"Other, please specify: Planta 8003 Aluminio Yucatan México";1
"Other, please specify: Polynesia";1
"Other, please specify: Remaining Offices";1
"Other, please specify: Remaining offices around the globe";1
"Other, please specify: Republic of Congo";1
"Other, please specify: Rest of Europe";1
"Other, please specify: Rest of Europe (FR, BE, IT, PL, RO, UK)";1
"Other, please specify: Rest of Hydro's ownership equity";1
"Other, please specify: rest of the world";2
"Other, please specify: Rest of the world";15
"Other, please specify: Rest of the World";5
"Other, please specify: Rest of the world (without Germany)";1
"Other, please specify: rest of world";1
"Other, please specify: Rest of world";14
"Other, please specify: Rest of World";22
"Other, please specify: Rest Of World";2
"Other, please specify: Rest of World - GM International Operations";1
"Other, please specify: Rest of World - Refrigerants";1
"Other, please specify: Rest of World, excluding Americas";1
"Other, please specify: Reunion Island";1
"Other, please specify: ROW - Rest of World";1
"Other, please specify: Sales Fleet - International (excludes U.S.)";1
"Other, please specify: Sales Fleet - U.S.";1
"Other, please specify: scope 2 and 1 figures are combined.  pls refer to item C7.2";1
"Other, please specify: Scotland";1
"Other, please specify: Scotland (this is the same figure as below -  breakdown by region is the same as breakdown by business division)";1
"Other, please specify: South Korea";2
"Other, please specify: SOUTH KOREA";1
"Other, please specify: Southern  (this is the same figure as below -  breakdown by region is the same as breakdown by business division)";1
"Other, please specify: Southern Africa";1
"Other, please specify: Southern England";1
"Other, please specify: Sum of various small sites in different countries";1
"Other, please specify: Switzerland";1
"Other, please specify: Taiwan";1
"Other, please specify: Tanzania";1
"Other, please specify: The figure consolidates emissions from all non-manufacturing countries (only with activities in R&D, Administration & Commercial)";1
"Other, please specify: There is no facility outside of China";1
"Other, please specify: This is for small countries that did not report, to uplift to 100% disclosure";1
"Other, please specify: U.S. Data Center";1
"Other, please specify: U.S. East";1
"Other, please specify: U.S. Integrated Clinical";1
"Other, please specify: U.S. Pharmacy";1
"Other, please specify: U.S. Twin Cities";1
"Other, please specify: U.S. West";1
"Other, please specify: Union of the Comoros";1
"Other, please specify: United Arab Emirates";1
"Other, please specify: Unreported countries";1
"Other, please specify: Values refers to branch";1
"Other, please specify: Various small factories in a number of different countries";1
"Other, please specify: Vodafone Group Services";1
"Other, please specify: WE & MEA";1
"Other, please specify: WE & MEA (Western Europe, Middle East, and Africa)";1
"Other: ??";1
"Other: ???";1
"Other: ????";1
"Other: ?????";1
"Other: ??????";1
"Other: Americas";1
"Other: Asia";1
"Other: Asia-Pacific";1
"Other: Asia (excluding Japan, China, and Taiwan)";1
"Other: Asia Pacific";1
"Other: Asia(excluding Japan, China, and Taiwan)";1
"Other: Asia, Australia, Middle and Near East, Africa, and Central and South America (Scope 1+2)";1
"Other: Asia, Australia, Middle and Near East, Africa, Central and South America";1
"Other: Asia/Oceania";1
"Other: Australia";2
"Other: Brazil";1
"Other: Britain";1
"Other: Canada";1
"Other: Caribbean";1
"Other: China";5
"Other: China (Scope 1+2)";1
"Other: China (Scope1+2)";1
"Other: China and Taiwan";1
"Other: Curacao";1
"Other: Czech Republic";1
"Other: Europe";3
"Other: Europe (Scope 1+2)";1
"Other: Europe (Scope1+2)";1
"Other: Europe, Middle East and Africa";1
"Other: Europe/Middle East/Africa";1
"Other: Europe/South Pacific";1
"Other: Fleet";1
"Other: Germany";2
"Other: Greater Asia/Africa";1
"Other: Ground activity";1
"Other: Hill's Pet Nutrition";1
"Other: Hong Kong";1
"Other: Hungary";1
"Other: India";1
"Other: Indonanesia";1
"Other: Indonesia";1
"Other: Infosys has a global footprint with 65 offices and 74 development centers in US, India, China, Australia, Japan, Middle East, UK, Germany, France, Switzerland, Netherlands, Poland, Canada and many other countries. We currently do not monitor our scope 1 emissions from offices outside India.";1
"Other: Infosys has a global footprint with 65 offices and 74 development centers in US, India, China, Australia, Japan, Middle East, UK, Germany, France, Switzerland, Netherlands, Poland, Canada and many other countries. We currently do not monitor our scope 2 emissions from offices outside India as they constitute only a minor part of carbon footprint.";1
"Other: Intercontinental flights";1
"Other: Italy";1
"Other: Japan";3
"Other: Japan (Scope 1+2)";1
"Other: Japan (Scope1+2)";1
"Other: Korea";1
"Other: Latin America";2
"Other: Malaysia";1
"Other: Mexico";1
"Other: Netherlands";1
"Other: Non-US Facilities";1
"Other: North America";3
"Other: North America (Scope 1+2)";1
"Other: North America (Scope1+2)";1
"Other: Oceania";1
"Other: Offices";1
"Other: Philippines";1
"Other: rest of world";1
"Other: Rest of world";1
"Other: rest of world (90 countries)";1
"Other: Romania";1
"Other: Russia";1
"Other: Singapore";1
"Other: Small offices not measured";1
"Other: South America";2
"Other: South Korea";1
"Other: Spain";1
"Other: Taiwan";1
"Other: Thailand";1
"Other: UK";1
"Other: United Kingdom and Ireland";1
"Other: USA";2
"Other: We have not yet set processes and procedures to measure the overseas locations. We are working on compiling the data to include these locations for future reporting of emissions";1
"Other: We have not yet set processes and procedures to measure the overseas locations. We are working on compiling the data to include these locations for future reporting of emissions.";1
"Other: world";1
"Pakistan";27
"Panama";37
"Papua New Guinea";6
"Paraguay";15
"Peru";60
"Philippines";116
"Poland";185
"Portugal";113
"Puerto Rico";34
"Qatar";24
"Republic of Korea";128
"Republic of Moldova";2
"Rest of world";90
"Réunion";3
"Romania";96
"Russia";52
"Russian Federation";93
"Rwanda";1
"Saint Kitts and Nevis";1
"Saint Lucia";1
"Samoa";2
"Saudi Arabia";59
"Senegal";10
"Serbia";33
"Seychelles";2
"Sierra Leone";3
"Singapore";206
"Sint Maarten (Dutch part)";1
"Slovakia";71
"Slovenia";26
"Solomon Islands";1
"Somalia";1
"South Africa";133
"South America";17
"South Korea";69
"Spain";238
"Sri Lanka";22
"Sudan";2
"Swaziland";3
"Sweden";149
"Switzerland";147
"Syrian Arab Republic";1
"Taiwan";68
"Taiwan, Greater China";133
"Tajikistan";2
"Tanzania";6
"Thailand";193
"The former Yugoslav Republic of Macedonia";2
"Timor-Leste";1
"Timor   Leste";1
"Togo";4
"Tonga";1
"Trinidad and Tobago";6
"Tunisia";17
"Turkey";132
"Turkmenistan";3
"Turks and Caicos Islands";1
"Uganda";8
"Ukraine";40
"United Arab Emirates";102
"United Kingdom";169
"United Kingdom of Great Britain and Northern Ireland";264
"United Republic of Tanzania";12
"United States of America";604
"United States Virgin Islands";3
"Uruguay";35
"US, Latin America and Caribbean (USLAC)";3
"Uzbekistan";6
"Vanuatu";2
"Venezuela";22
"Venezuela (Bolivarian Republic of)";17
"Viet Nam";88
"Vietnam";52
"Virgin Islands";1
"Western Europe";4
"Yemen";3
"Zambia";15
"Zimbabwe";6
