account_id;company_name;program_id;access;incorporation_country;sectors;industries;activities;primary_sector;primary_industry;primary_activity;project_year;Target reference number;Year target was set;Target coverage;Scope(s) (or Scope 3 category);Base year;Covered emissions in base year (metric tons CO2e);Covered emissions in base year as % of total base year emissions in selected Scope(s) (or Scope 3 category);Target year;Targeted reduction from base year (%);Covered emissions in target year (metric tons CO2e) [auto-calculated];Covered emissions in reporting year (metric tons CO2e);Covered emissions outlier check;Target emission change rate vs 2019;Pro-rated achievement rate (BY-TY);TY_EM;MRY_EM
64654;Grieg Seafood;Investor;public;Norway; Fish & animal farming; Food, beverage & agriculture; Aquaculture;Fish & animal farming;Food, beverage & agriculture;Aquaculture;2020;Abs 1;2018;Company-wide;Scope 1+2 (location-based);2018;34244;100;2030;35;22258.6;42695;100.00%;-48%;-846%;;
12782;Nanya Technology Corp;Investor;public;Taiwan, Greater China; Electrical & electronic equipment; Manufacturing; Electronic components;Electrical & electronic equipment;Manufacturing;Electronic components;2020;Abs 1;2018;Company-wide;Scope 1+2 (location-based);2018;448216;100;2030;10;403394.4;478721.88;100.00%;-16%;-817%;;
52854;OFS Brands;Investor;public;United States of America; Electrical & electronic equipment, Leisure & home manufacturing; Manufacturing; Electrical equipment, Furniture;Leisure & home manufacturing;Manufacturing;Furniture;2020;Abs 1;2017;Company-wide;Scope 1+2 (location-based);2016;51616.94;98;2030;15;43874.399;64397.77;100.00%;-32%;-770%;;
51273;DIAM;Investor;public;France; Plastic product manufacturing, Specialized professional services; Manufacturing, Services; Other professional services, Plastic products;Specialized professional services;Services;Other professional services;2020;Abs 1;2018;Company-wide;Scope 1+2 (market-based) +3 (upstream & downstream);2017;168228;100;2030;25;126171;201369;100.00%;-37%;-512%;;
13161;NH Hotel Group;Investor;public;Spain; Bars, hotels & restaurants; Hospitality; Hotels & lodging;Bars, hotels & restaurants;Hospitality;Hotels & lodging;2020;Abs 2;2019;Company-wide;Scope 3 (upstream & downstream);2018;364717;100;2030;19;295420.77;389862;100.00%;-24%;-435%;;
828269;CHENG YU METALS MANUFACTORY, INC.;Supply Chain;public;Taiwan, Greater China; Leisure & home manufacturing; Manufacturing; Homeware;Leisure & home manufacturing;Manufacturing;Homeware;2020;Abs 1;2019;Company-wide;Scope 2 (location-based);2018;155.5;100;2030;10;139.95;160.71;99.58%;-13%;-402%;;
64654;Grieg Seafood;Investor;public;Norway; Fish & animal farming; Food, beverage & agriculture; Aquaculture;Fish & animal farming;Food, beverage & agriculture;Aquaculture;2020;Abs 3;2018;Company-wide;Scope 1+2 (location-based) +3 (upstream & downstream);2018;407772;100;2030;35;265051.8;449855;100.00%;-41%;-354%;;
7788;GRIFOLS;Investor;public;Spain; Biotech & pharma; Biotech, health care & pharma; Biotechnology;Biotech & pharma;Biotech, health care & pharma;Biotechnology;2020;Abs 30;2019;Company-wide;Scope 1+2 (location-based);2018;218536;100;2030;40;131121.6;244006;100.00%;-46%;-350%;;
772;Anglo American;Investor;public;United Kingdom of Great Britain and Northern Ireland; Chemicals, Coal mining, Metal smelting, refining & forming, Metallic mineral mining, Other mineral mining; Fossil Fuels, Materials; Coal extraction & processing, Iron ore mining, Non-nitrogenous fertilizers, Other non-ferrous metals, Other non-ferrous ore mining, Other non-metallic minerals, Precious metals & minerals mining;Coal mining;Fossil Fuels;Coal extraction & processing;2020;Abs 1;2017;Company-wide;Scope 1+2 (location-based);2016;14593333;100;2030;30;10215333.1;17743984;100.00%;-42%;-336%;;
7310;Givaudan SA;Investor;public;Switzerland; Chemicals; Materials; Specialty chemicals;Chemicals;Materials;Specialty chemicals;2020;Abs 2;2017;Company-wide;Scope 3 (upstream & downstream);2015;1544229;100;2030;20;1235383.2;1816834;100.00%;-32%;-331%;;
11366;Mowi ASA;Investor;public;Norway; Crop farming, Fish & animal farming; Food, beverage & agriculture; Animal feed, Aquaculture;Fish & animal farming;Food, beverage & agriculture;Aquaculture;2020;Abs 1;2018;Company-wide;Scope 1+2 (location-based);2016;200483;100;2030;35;130313.95;249447;100.00%;-48%;-326%;;
38118;Reynders Label Printing;Supply Chain;public;Belgium; Light manufacturing; Manufacturing; Other containers & packaging;Light manufacturing;Manufacturing;Other containers & packaging;2020;Abs 2;2020;Company-wide;Scope 1+2 (location-based);2018;4182.53;100;2030;30;2927.771;4521.9;100.00%;-35%;-325%;;
19357;Transurban Group;Investor;public;Australia; Construction, Land & property ownership & development; Infrastructure; Infrastructure upkeep & management, Transportation infrastructure & other construction;Land & property ownership & development;Infrastructure;Infrastructure upkeep & management;2020;Abs 1;2020;Company-wide;Scope 1+2 (market-based);2019;122346;100;2030;50;61173;139817;100.00%;-56%;-314%;;
35459;Applied Optoelectronics, Inc.;Supply Chain;public;United States of America; Electrical & electronic equipment; Manufacturing; Communications equipment;Electrical & electronic equipment;Manufacturing;Communications equipment;2020;Abs 2;2018;Company-wide;Scope 1+2 (market-based);2018;17561.8;100;2031;40;10537.08;19080.4;100.00%;-45%;-281%;;
21477;Quanta Computer;Investor;public;Taiwan, Greater China; Electrical & electronic equipment; Manufacturing; Electronic components;Electrical & electronic equipment;Manufacturing;Electronic components;2020;Abs 2;2015;Company-wide;Scope 1+2 (location-based);2015;531308;100;2030;23;409107.16;622830;100.00%;-34%;-281%;;
16194;Samsung Electro-Mechanics Co., Ltd.;Investor;public;Republic of Korea; Electrical & electronic equipment; Manufacturing; Electronic components;Electrical & electronic equipment;Manufacturing;Electronic components;2020;Abs 1;2018;Company-wide;Scope 1+2 (location-based);2014;991154;100;2030;45;545134.7;1309687;100.00%;-58%;-229%;;
19792;Uni-Charm Corporation;Investor;public;Japan; Chemicals, Food & beverage processing, Paper products & packaging; Food, beverage & agriculture, Manufacturing, Materials; Animal processing, Paper products, Personal care & household products;Paper products & packaging;Manufacturing;Paper products;2020;Abs 1;2015;Company-wide;Scope 1+2 (location-based);2016;412000;100;2030;34;271920;474460;100.00%;-43%;-208%;;
50021;Core Laboratories N.V.;Investor;public;Netherlands; Industrial support services; Services; Energy services & equipment;Industrial support services;Services;Energy services & equipment;2020;Abs 1;2019;Company-wide;Scope 1;2018;4541;100;2025;19;3678.21;4795;100.00%;-23%;-206%;;
828564;Tokyu Construction Co., Ltd.;Investor;public;Japan; Construction; Infrastructure; Building sub-contractors, Non-residential building construction, Transportation infrastructure & other construction;Construction;Infrastructure;Non-residential building construction;2020;Abs 1;2019;Company-wide;Scope 1;2018;33140.7;100;2030;30;23198.49;36548.94;100.00%;-37%;-206%;;
8825;Impala Platinum Holdings;Investor;public;South Africa; Metal smelting, refining & forming, Metallic mineral mining; Materials; Other non-ferrous metals, Other non-ferrous ore mining, Precious metals, Precious metals & minerals mining;Metal smelting, refining & forming;Materials;Precious metals;2020;Abs 2;2016;Company-wide;Scope 2 (location-based);2015;2896704;100;2030;35;1882857.6;3418000;100.00%;-45%;-193%;;
32143;Lululemon Athletica Inc.;Investor;public;Canada; Apparel design, Discretionary retail; Apparel, Retail; Apparel & footwear design, Apparel stores;Discretionary retail;Retail;Apparel stores;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2018;18248;100;2030;60;7299.2;19852;100.00%;-63%;-176%;;
12610;Murata Mfg. Co.;Investor;public;Japan; Electrical & electronic equipment, Specialized professional services; Manufacturing, Services; Electrical equipment, Electronic components, Other professional services;Electrical & electronic equipment;Manufacturing;Electronic components;2020;Abs 1;2018;Company-wide;Scope 1+2 (location-based);2017;1400000;100;2030;13;1218000;1472123;98.73%;-17%;-172%;;
31884;SCREEN Holdings CO., Ltd.;Investor;public;Japan; Electrical & electronic equipment, IT & software development; Manufacturing, Services; Electronic components, Electronic equipment, Semiconductors, Software;Electrical & electronic equipment;Manufacturing;Semiconductors;2020;Abs 1;2020;Company-wide;Scope 1+2 (market-based);2018;50566;100;2030;30;35396.2;54792;100.00%;-35%;-167%;;
3229;China Mobile;Investor;public;China; Discretionary retail, Media, telecommunications & data center services; Retail, Services; Specialist retail, Telecommunications services;Media, telecommunications & data center services;Services;Telecommunications services;2020;Abs 3;2016;Company-wide;Scope 1+2 (location-based);2015;15701033;100;2030;27.5;11383248.93;17315557;100.00%;-34%;-140%;;
399;Aisin Seiki Co., Ltd.;Investor;public;Japan; Metal products manufacturing; Manufacturing; Fabricated metal components;Metal products manufacturing;Manufacturing;Fabricated metal components;2020;Abs 1;2018;Company-wide;Scope 1+2 (location-based);2013;2374858.19;100;2030;35;1543657.824;2844131;100.00%;-46%;-137%;;
18288;Tata Chemicals;Investor;public;India; Chemicals; Materials; Inorganic base chemicals, Other base chemicals;Chemicals;Materials;Other base chemicals;2020;Abs 1;2020;Company-wide;Scope 1+2 (location-based);2019;4360531;100;2030;27.5;3161384.975;4494940;100.00%;-30%;-123%;;
64656;Aker BP ASA;Investor;public;Norway; Oil & gas extraction & production; Fossil Fuels; Natural gas extraction, Oil & gas extraction;Oil & gas extraction & production;Fossil Fuels;Oil & gas extraction;2020;Abs 1;2018;Company-wide;Scope 1;2017;910754;98;2030;15;774140.9;936157;100.00%;-17%;-121%;;
14049;Origin Energy;Investor;public;Australia; Oil & gas extraction & production, Renewable power generation, Thermal power generation; Fossil Fuels, Power generation; CCGT generation, Coal generation, Hydro generation, Oil & gas extraction;Thermal power generation;Power generation;Coal generation;2020;Abs 1;2017;Company-wide;Scope 1+2 (market-based);2017;18246000;95;2032;50;9123000;19715000;97.32%;-54%;-121%;;
35495;Gestamp;Investor;public;Spain; Metal products manufacturing; Manufacturing; Fabricated metal components;Metal products manufacturing;Manufacturing;Fabricated metal components;2020;Abs 1;2019;Company-wide;Scope 1+2 (location-based);2018;659658;100;2030;30;461760.6;679134;100.00%;-32%;-118%;;
20149;Veidekke ASA;Investor;public;Norway; Construction; Infrastructure; Building sub-contractors, Non-residential building construction, Transportation infrastructure & other construction;Construction;Infrastructure;Building sub-contractors;2020;Abs 1;2017;Company-wide;Scope 1+2 (location-based);2013;94028;100;2030;50;47014;113284;100.00%;-58%;-116%;;
8844;Ingka Holding B.V.;Investor;public;Sweden; Discretionary retail, Wood & paper materials, Wood & rubber products; Manufacturing, Materials, Retail; Finished wood products, Sawmills & wood materials, Specialist retail;Discretionary retail;Retail;Specialist retail;2020;Abs 1;2018;Company-wide;Scope 1+2 (market-based);2016;513169;98;2030;80;102633.8;604155;100.00%;-83%;-103%;;
21129;T.GARANTİ BANKASI A.Ş.;Investor;public;Turkey; Financial services; Services; Asset managers, Banks;Financial services;Services;Banks;2020;Abs 2;2019;Company-wide;Scope 1+2 (location-based);2018;67233;100;2035;71;19497.57;70121;100.00%;-72%;-103%;;
10674;LG Uplus;Investor;public;Republic of Korea; Discretionary retail, Media, telecommunications & data center services; Retail, Services; Specialist retail, Telecommunications services;Media, telecommunications & data center services;Services;Telecommunications services;2020;Abs 1;2017;Company-wide;Scope 1+2 (location-based);2015;1030671;100;2030;27.3;749297.817;1098910;100.00%;-32%;-91%;;
53675;Saga;Investor;public;United Kingdom of Great Britain and Northern Ireland; Commercial & consumer services, Financial services, Other services; Services; Health care services, Insurance, Travel services;Commercial & consumer services;Services;Travel services;2020;Abs 1;2019;Company-wide;Scope 1+2 (location-based);2018;98306.54;100;2030;30;68814.578;102770;100.00%;-33%;-91%;;
5516;ENAGAS;Investor;public;Spain; Oil & gas storage & transportation; Fossil Fuels; Oil & gas pipelines & storage;Oil & gas storage & transportation;Fossil Fuels;Oil & gas pipelines & storage;2020;Abs 3;2019;Company-wide;Scope 1+2 (market-based);2018;304757.83;100;2030;25;228568.3725;310162.07;100.00%;-26%;-85%;;
50182;Suntory Beverage & Food;Investor;public;Japan; Food & beverage processing; Food, beverage & agriculture; Non-alcoholic beverages;Food & beverage processing;Food, beverage & agriculture;Non-alcoholic beverages;2020;Abs 1;2017;Company-wide;Scope 1+2 (market-based);2015;472595;99;2030;25;354446.25;496593.92;99.17%;-29%;-76%;;
21889;Empresas CMPC;Investor;public;Chile; Chemicals, Paper products & packaging, Wood & paper materials; Manufacturing, Materials; Paper products, Personal care & household products, Pulp & paper mills;Wood & paper materials;Materials;Pulp & paper mills;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2018;2316729;100;2030;50;1158364.5;2387659;107.84%;-51%;-73%;;
10095;Kesko Corporation;Investor;public;Finland; Convenience retail, Discretionary retail; Retail; Apparel stores, Specialist retail, Supermarkets, food & drugstores;Convenience retail;Retail;Supermarkets, food & drugstores;2020;Abs 1;2017;Company-wide;Scope 1;2015;42187;97.4;2025;21;33327.73;44775;93.83%;-26%;-73%;;
23276;Avis Budget Group;Investor;public;United States of America; Trading, wholesale, distribution, rental & leasing; Retail; Vehicles & machinery rental & leasing;Trading, wholesale, distribution, rental & leasing;Retail;Vehicles & machinery rental & leasing;2020;Abs 1;2020;Company-wide;Scope 1+2 (market-based);2018;6872414;100;2030;30;4810689.8;6996387;100.00%;-31%;-72%;;
13573;NTT Data Corporation;Investor;public;Japan; IT & software development, Specialized professional services; Services; IT services, Other professional services;IT & software development;Services;IT services;2020;Abs 2;2019;Company-wide;Scope 3 (upstream & downstream);2016;2289985;100;2030;55;1030493.25;2547690;100.00%;-60%;-72%;;
10331;Kroger;Investor;public;United States of America; Convenience retail; Retail; Supermarkets, food & drugstores;Convenience retail;Retail;Supermarkets, food & drugstores;2020;Abs 4;2020;Company-wide;Scope 1+2 (market-based);2018;5774060;100;2030;30;4041842;5967865;100.00%;-32%;-67%;;
17897;Sumitomo Forestry Co., Ltd.;Investor;public;Japan; Construction, Logging & rubber tapping, Trading, wholesale, distribution, rental & leasing; Food, beverage & agriculture, Infrastructure, Retail; Logging, Residential building construction, Vehicles & machinery rental & leasing;Logging & rubber tapping;Food, beverage & agriculture;Logging;2020;Abs 1;2018;Company-wide;Scope 1+2 (market-based);2017;369785;100;2030;21;292130.15;380641;100.00%;-23%;-61%;;
15670;Republic Services, Inc.;Investor;public;United States of America; Non-energy utilities; Infrastructure; Waste management;Non-energy utilities;Infrastructure;Waste management;2020;Abs 1;2018;Company-wide;Scope 1+2 (market-based);2017;13772540;100;2030;35;8952151;14185840;100.00%;-37%;-56%;;
52935;Korea South-East Power;Investor;public;Republic of Korea; Energy utility networks, Renewable power generation, Thermal power generation; Infrastructure, Power generation; CCGT generation, Coal generation, Electricity networks, Hydro generation;Thermal power generation;Power generation;Coal generation;2020;Abs 1;2012;Company-wide;Scope 1+2 (location-based);2011;50991466.86;100;2030;35;33144453.46;53399750.85;100.00%;-38%;-32%;;
31854;Kindred Group;Investor;public;Malta; Entertainment facilities; Hospitality; Gambling;Entertainment facilities;Hospitality;Gambling;2020;Abs 1;2018;Company-wide;Scope 1+2 (market-based);2018;2274;100;2023;85;341.1;2397;98.52%;-86%;-32%;;
38359;Barilla Holding SpA;Supply Chain;public;Italy; Food & beverage processing, Trading, wholesale, distribution, rental & leasing; Food, beverage & agriculture, Retail; Baked goods & cereals, Food & beverage wholesale;Food & beverage processing;Food, beverage & agriculture;Baked goods & cereals;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2017;363406.67;100;2030;25;272555.0025;367568.72;100.00%;-26%;-30%;;
10389;L'Oréal;Investor;public;France; Chemicals; Materials; Personal care & household products;Chemicals;Materials;Personal care & household products;2020;Abs 2;2017;Company-wide;Scope 1+2 (market-based) +3 (upstream & downstream);2016;11595000;100;2030;25;8696250;11762348;99.98%;-26%;-27%;;
22508;Hyundai Glovis Co Ltd;Investor;public;Republic of Korea; Intermodal transport & logistics, Trading, wholesale, distribution, rental & leasing; Retail, Transportation services; Dealers, wholesalers & distributors, Logistics - 3rd party, Logistics - transport;Intermodal transport & logistics;Transportation services;Logistics - transport;2020;Abs 1;2017;Company-wide;Scope 1+2 (location-based);2016;3995571;100;2030;26.57;2933947.785;4056730;100.00%;-28%;-27%;;
11366;Mowi ASA;Investor;public;Norway; Crop farming, Fish & animal farming; Food, beverage & agriculture; Animal feed, Aquaculture;Fish & animal farming;Food, beverage & agriculture;Aquaculture;2020;Abs 2;2018;Company-wide;Scope 3 (upstream & downstream);2018;1750868;100;2030;35;1138064.2;1764384;100.00%;-35%;-26%;;
21134;T. İŞ BANKASI A.Ş.;Investor;public;Turkey; Financial services; Services; Asset managers, Banks;Financial services;Services;Banks;2020;Abs 2;2019;Company-wide;Scope 1+2 (market-based);2018;92225.5;100;2030;65;32278.925;93545.4;100.00%;-65%;-26%;;
21134;T. İŞ BANKASI A.Ş.;Investor;public;Turkey; Financial services; Services; Asset managers, Banks;Financial services;Services;Banks;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2018;92225.5;100;2025;38;57179.81;93545.4;100.00%;-39%;-26%;;
18124;Swisscom;Investor;public;Switzerland; Electrical & electronic equipment, Media, telecommunications & data center services, Specialized professional services, Web & marketing services; Manufacturing, Services; Communications equipment, Marketing, Other professional services, Telecommunications services;Media, telecommunications & data center services;Services;Telecommunications services;2020;Abs 4;2020;Company-wide;Scope 1;2018;16289;100;2030;76.4;3844.204;16448;100.00%;-77%;-15%;;
1328;Ball Corporation;Investor;public;United States of America; Electrical & electronic equipment, Metal products manufacturing; Manufacturing; Electrical equipment, Metal containers & packaging;Metal products manufacturing;Manufacturing;Metal containers & packaging;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2017;1167834;100;2030;55;525525.3;1182207;95.11%;-56%;-15%;;
14562;Pernod Ricard;Investor;public;France; Food & beverage processing; Food, beverage & agriculture; Alcoholic beverages;Food & beverage processing;Food, beverage & agriculture;Alcoholic beverages;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2018;296812;100;2030;30;207768.4;297529;99.88%;-30%;-10%;;
31907;Otsuka Holdings Co., Ltd.;Investor;public;Japan; Biotech & pharma, Food & beverage processing, Trading, wholesale, distribution, rental & leasing; Biotech, health care & pharma, Food, beverage & agriculture, Retail; Dealers, wholesalers & distributors, Non-alcoholic beverages, Pharmaceuticals;Biotech & pharma;Biotech, health care & pharma;Pharmaceuticals;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2017;817949;100;2030;30;572564.3;820768;100.00%;-30%;-7%;;
11584;S&P Global;Investor;public;United States of America; Specialized professional services; Services; Other financial, Other professional services;Specialized professional services;Services;Other financial;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2018;30351;100;2023;10;27315.9;30395;100.00%;-10%;-7%;;
11566;McCormick & Company, Incorporated;Investor;public;United States of America; Food & beverage processing; Food, beverage & agriculture; Other food processing;Food & beverage processing;Food, beverage & agriculture;Other food processing;2020;Abs 1;2017;Company-wide;Scope 1+2 (market-based);2015;124627;96;2025;20;99701.6;125307.01;100.00%;-20%;-7%;;
20205;Vinci;Investor;public;France; Construction, Land & property ownership & development; Infrastructure; Energy infrastructure construction, Non-residential building construction, Real estate owners & developers, Transportation infrastructure & other construction;Construction;Infrastructure;Non-residential building construction;2020;Abs 1;2019;Company-wide;Scope 1+2 (location-based);2018;2335308;100;2030;40;1401184.8;2338928;100.72%;-40%;-5%;;
34996;Coty Inc.;Investor;public;United States of America; Chemicals; Materials; Personal care & household products;Chemicals;Materials;Personal care & household products;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based) +3 (upstream & downstream);2017;1598052;100;2030;30;1118636.4;1599831;100.09%;-30%;-2%;;
1104;AstraZeneca;Investor;public;United Kingdom of Great Britain and Northern Ireland; Biotech & pharma; Biotech, health care & pharma; Pharmaceuticals;Biotech & pharma;Biotech, health care & pharma;Pharmaceuticals;2020;Abs 6;2020;Company-wide;Scope 3 (upstream & downstream);2015;7202192;100;2030;100;0;7234606;100.00%;-100%;-2%;;
17788;Steelcase;Investor;public;United States of America; Leisure & home manufacturing; Manufacturing; Furniture;Leisure & home manufacturing;Manufacturing;Furniture;2020;Abs 3;2020;Company-wide;Scope 1+2 (location-based);2019;123562.97;100;2030;50;61781.485;123562.97;100.00%;-50%;0%;;
20591;Wereldhave;Investor;public;Netherlands; Financial services, Other services; Services; Real estate services, REIT;Financial services;Services;REIT;2020;Abs 1;2020;Company-wide;Scope 1+2 (location-based);2018;32325;100;2030;30;22627.5;32325;120.06%;-30%;0%;;
39565;The Lego Group;Supply Chain;public;Denmark; Leisure & home manufacturing; Manufacturing; Toys & games;Leisure & home manufacturing;Manufacturing;Toys & games;2020;Abs 1;2020;Company-wide;Scope 1+2 (location-based) +3 (upstream & downstream);2018;1109370;100;2032;37;698903.1;1109370;96.22%;-37%;0%;;
71237;NISSEI CO.,LTD.;Supply Chain;public;Japan; Food & beverage processing, Trading, wholesale, distribution, rental & leasing; Food, beverage & agriculture, Retail; Food & beverage wholesale, Non-alcoholic beverages;Trading, wholesale, distribution, rental & leasing;Retail;Food & beverage wholesale;2020;Abs 1;2019;Company-wide;Scope 1;2019;35891;100;2023;4.6;34240.014;35891;100.00%;-5%;0%;;
71709;PACIFIC INDUSTRIAL CO.,LTD.;Supply Chain;public;Japan; Metal products manufacturing, Transportation equipment; Manufacturing; Automobiles, Fabricated metal components;Metal products manufacturing;Manufacturing;Fabricated metal components;2020;Abs 1;2020;Company-wide;Scope 1+2 (location-based);2019;88981;100;2030;35;57837.65;88981;100.00%;-35%;0%;;
71869;Wiwynn Corporation;Investor;public;Taiwan, Greater China; Electrical & electronic equipment; Manufacturing; Computer hardware;Electrical & electronic equipment;Manufacturing;Computer hardware;2020;Abs 1;2020;Company-wide;Scope 1+2 (location-based);2020;1771.52;100;2030;50;885.76;1771.52;100.00%;-50%;0%;;
64620;Dell Technologies;Investor;public;United States of America; Electrical & electronic equipment, IT & software development; Manufacturing, Services; Computer hardware, IT services, Software;Electrical & electronic equipment;Manufacturing;Computer hardware;2020;Abs 2;2019;Company-wide;Scope 1+2 (market-based);2019;298454;100;2030;50;149227;298454;100.00%;-50%;0%;;
831911;Sunmatch Industrial Co., Ltd.;Supply Chain;public;Taiwan, Greater China; Powered machinery; Manufacturing; Industrial machinery;Powered machinery;Manufacturing;Industrial machinery;2020;Abs 2;2019;Company-wide;Scope 1;2018;2.08;100;2030;2;2.0384;2.08;100.00%;-2%;0%;;
13575;NTT DOCOMO, INC.;Investor;public;Japan; Electrical & electronic equipment, Media, telecommunications & data center services; Manufacturing, Services; Communications equipment, Telecommunications services;Media, telecommunications & data center services;Services;Telecommunications services;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2019;1469488;100;2030;46.2;790584.544;1469488;100.00%;-46%;0%;;
48881;Flughafen München GmbH;Investor;public;Germany; Industrial support services; Services; Transportation support services;Industrial support services;Services;Transportation support services;2020;Abs 3;2017;Company-wide;Scope 1+2 (location-based);2016;101591;100;2030;100;0;101511;100.00%;-100%;0%;;
10179;Kobayashi Pharmaceutical Co., Ltd.;Investor;public;Japan; Biotech & pharma, Chemicals, Intermodal transport & logistics; Biotech, health care & pharma, Materials, Transportation services; Logistics - 3rd party, Personal care & household products, Pharmaceuticals;Chemicals;Materials;Personal care & household products;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2017;20714;100;2030;54.6;9404.156;20699;#DIV/0!;-55%;1%;;
38108;MANE;Supply Chain;public;France; Chemicals; Materials; Specialty chemicals;Chemicals;Materials;Specialty chemicals;2020;Abs 1;2020;Company-wide;Scope 1+2 (market-based);2018;55666;100;2030;50;27833;55562;100.00%;-50%;4%;;
58554;Miyakoda Construction Co Ltd;Investor;public;Japan; Construction; Infrastructure; Residential building construction;Construction;Infrastructure;Residential building construction;2020;Abs 2;2019;Company-wide;Scope 1+2 (market-based);2018;208.59;100;2030;50.4;103.46064;207.3;100.00%;-50%;7%;;
10250;Kone Oyj;Investor;public;Finland; Electrical & electronic equipment; Manufacturing; Electrical equipment;Electrical & electronic equipment;Manufacturing;Electrical equipment;2020;Abs 1;2020;Company-wide;Scope 1+2 (market-based);2018;154702;100;2030;50;77351;154198;108.82%;-50%;8%;;
9979;KB Financial Group;Investor;public;Republic of Korea; Financial services; Services; Banks;Financial services;Services;Banks;2020;Abs 1;2019;Company-wide;Scope 1+2 (location-based);2017;131501.19;100;2030;25;98625.8925;130711.21;100.00%;-25%;16%;;
